Metric,BTC/USD,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,96.0%,90.0%
,,
Total Return,26%,9%
CAGR% (Annual Return),13.79%,5.13%
,,
Sharpe,0.45,0.15
RoMaD,0.28,0.35
Corr to Benchmark,1.0,-0.07
Prob. Sharpe Ratio,31.1%,24.66%
Smart Sharpe,0.33,0.11
Sortino,0.9,0.22
Smart Sortino,0.66,0.16
Sortino/√2,0.64,0.15
Smart Sortino/√2,0.46,0.11
Omega,1.03,1.03
,,
Max Drawdown,-48.9%,-14.73%
Longest DD Days,472,202
Volatility (ann.),82.3%,24.11%
R^2,0.0,0.0
Information Ratio,-0.02,-0.02
Calmar,0.28,0.35
Skew,7.87,0.38
Kurtosis,129.05,11.2
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,1.0%,0.39%
Expected Yearly%,12.13%,4.53%
Daily Value-at-Risk,-6.97%,-2.05%
Expected Shortfall (cVaR),-6.97%,-2.05%
,,
MTD,0.0%,0.0%
3M,-13.93%,-3.46%
6M,-0.77%,-3.29%
YTD,-18.57%,-1.91%
1Y,-15.76%,0.36%
3Y (ann.),13.79%,5.13%
5Y (ann.),13.79%,5.13%
10Y (ann.),13.79%,5.13%
All-time (ann.),13.79%,5.13%
,,
Best Day,73.04%,8.37%
Worst Day,-13.78%,-8.18%
Best Month,49.47%,5.79%
Worst Month,-29.56%,-5.49%
Best Year,54.41%,11.4%
Worst Year,-18.57%,-1.91%
,,
Avg. Drawdown,-21.43%,-3.66%
Avg. Drawdown Days,128,37
Recovery Factor,1.51,0.95
Ulcer Index,0.28,0.07
Serenity Index,0.24,0.14
,,
Avg. Up Month,12.22%,2.99%
Avg. Down Month,-14.37%,-2.94%
Win Days,327.16,330.16
Loss Days,320.84,317.84
Win Days%,50.49%,50.95%
Win Month%,59.09%,54.55%
Win Quarter%,50.0%,62.5%
Win Year%,50.0%,50.0%
,,
Beta,-,-0.02
Alpha,-,0.09
Correlation,-,-6.76%
Treynor Ratio,-,-246.36%
