time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-22 00:00:00-05:00,CryptoTrader,592bf45dbdfc4d608fdb6e0301203712,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-01-22 00:00:00-05:00,CryptoTrader,592bf45dbdfc4d608fdb6e0301203712,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.403,62344.139650872814,0.0
2023-01-23 00:00:00-05:00,CryptoTrader,b587784910f343ddaded743df2d9715b,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-01-23 00:00:00-05:00,CryptoTrader,ef1d94e930d04361bd9bcee060345b64,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-23 00:00:00-05:00,CryptoTrader,85de74cb1b2643a393b51e8d6738fd78,BTC,sell,market,fill,1,day,0.0,1,crypto,0.401,62344.139650872814,0.0
2023-01-23 00:00:00-05:00,CryptoTrader,b587784910f343ddaded743df2d9715b,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.401,44044.30101217545,0.0
2023-01-24 00:00:00-05:00,CryptoTrader,643243e0b3304f04b6f749d31ed97e75,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-01-24 00:00:00-05:00,CryptoTrader,c23548f77ca84d998af39d8c0df6f5ba,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-24 00:00:00-05:00,CryptoTrader,4e8610a6b12548f69af36f1f634afef9,BTC,sell,market,fill,1,day,0.0,1,crypto,0.423,44044.30101217545,0.0
2023-01-24 00:00:00-05:00,CryptoTrader,643243e0b3304f04b6f749d31ed97e75,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.423,50375.947925745044,0.0
2023-01-25 00:00:00-05:00,CryptoTrader,9c9666a4e68741d9ac644a9155b24bb8,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-01-25 00:00:00-05:00,CryptoTrader,356378762a2a410182c36f96b75c326f,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-25 00:00:00-05:00,CryptoTrader,66a83ebd96d24867aa2817c2ecae20b9,BTC,sell,market,fill,1,day,0.0,1,crypto,0.407,50375.947925745044,0.0
2023-01-25 00:00:00-05:00,CryptoTrader,9c9666a4e68741d9ac644a9155b24bb8,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.407,47683.00981437408,0.0
2023-01-26 00:00:00-05:00,CryptoTrader,3db4d8251a564fc3b8153b85fd4b71a5,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-26 00:00:00-05:00,CryptoTrader,518570b0eaaa495aa68b021d11305b3d,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-26 00:00:00-05:00,CryptoTrader,a6332a692ec64ed99a28541a03ee7ca6,BTC,sell,market,new,1,day,0.0,1,crypto,,,
2023-01-26 00:00:00-05:00,CryptoTrader,4f963cfb03074d3c8af417167b9ced4c,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-01-26 00:00:00-05:00,CryptoTrader,a6332a692ec64ed99a28541a03ee7ca6,BTC,sell,market,fill,1,day,0.0,1,crypto,0.417,47683.00981437408,0.0
2023-01-26 00:00:00-05:00,CryptoTrader,4f963cfb03074d3c8af417167b9ced4c,BTC,sell,market,fill,1,gtc,0.0,1,crypto,0.417,49285.62725043029,0.0
2023-01-27 00:00:00-05:00,CryptoTrader,88e25a220e764e32bdc28a13315a0cad,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-01-27 00:00:00-05:00,CryptoTrader,4cc35fd51fb24968a35d8ea4ca3cfe85,BTC,buy,market,canceled,1,day,0.0,1,crypto,,,
2023-01-27 00:00:00-05:00,CryptoTrader,fb2dbe5325a64595b01c6333241309fa,BTC,buy,market,fill,1,day,0.0,1,crypto,0.409,49285.62725043029,0.0
2023-01-27 00:00:00-05:00,CryptoTrader,88e25a220e764e32bdc28a13315a0cad,BTC,sell,market,fill,1,gtc,0.0,1,crypto,0.409,73285.23476860012,0.0
2023-01-28 00:00:00-05:00,CryptoTrader,9b03171edbd44b0885ea7359d6f8ed59,BTC,buy,market,canceled,1,day,0.0,1,crypto,,,
2023-01-28 00:00:00-05:00,CryptoTrader,c733616de96c490bab71033fcafa4fc3,BTC,buy,market,fill,1,day,0.0,1,crypto,0.413,73285.23476860012,0.0
2023-01-31 00:00:00-05:00,CryptoTrader,befaadd5330a45e0a4aca0d4f90be672,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-01-31 00:00:00-05:00,CryptoTrader,befaadd5330a45e0a4aca0d4f90be672,BTC,sell,market,fill,1,gtc,0.0,1,crypto,0.393,61955.816104203805,0.0
2023-02-01 00:00:00-05:00,CryptoTrader,191f5c242a4e46538418ce9b6e16bba7,BTC,buy,market,canceled,1,day,0.0,1,crypto,,,
2023-02-01 00:00:00-05:00,CryptoTrader,ee73ae02b54242cd9bcda30ebda8f872,BTC,buy,market,fill,1,day,0.0,1,crypto,0.406,61955.816104203805,0.0
2023-02-02 00:00:00-05:00,CryptoTrader,2db1ea262603493b9c200a83b8953fd0,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-02-02 00:00:00-05:00,CryptoTrader,2db1ea262603493b9c200a83b8953fd0,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.413,60860.25594138558,0.0
2023-02-03 00:00:00-05:00,CryptoTrader,ae05dbc0dcb64899ada433465dce9064,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-02-03 00:00:00-05:00,CryptoTrader,9d518b4c24114b9098d81955fac6cea7,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-02-03 00:00:00-05:00,CryptoTrader,79da833c6ef846e99e77597fb5d90bb2,BTC,sell,market,new,1,day,0.0,1,crypto,,,
2023-02-03 00:00:00-05:00,CryptoTrader,791f8180e34e4586b3c0246609fbc23c,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-02-03 00:00:00-05:00,CryptoTrader,79da833c6ef846e99e77597fb5d90bb2,BTC,sell,market,fill,1,day,0.0,1,crypto,0.41,60860.25594138558,0.0
2023-02-03 00:00:00-05:00,CryptoTrader,791f8180e34e4586b3c0246609fbc23c,BTC,sell,market,fill,1,gtc,0.0,1,crypto,0.41,45312.82405344667,0.0
2023-02-04 00:00:00-05:00,CryptoTrader,fd8d6547a35c4c8bba402f93d048ed60,BTC,buy,market,canceled,1,day,0.0,1,crypto,,,
2023-02-04 00:00:00-05:00,CryptoTrader,73e28078b3ec41c789b82b641330a0b5,BTC,buy,market,fill,1,day,0.0,1,crypto,0.412,45312.82405344667,0.0
2023-02-05 00:00:00-05:00,CryptoTrader,82300f8e065b4d26bd1473579b33a323,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-02-05 00:00:00-05:00,CryptoTrader,82300f8e065b4d26bd1473579b33a323,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.411,62366.9256440735,0.0
2023-02-06 00:00:00-05:00,CryptoTrader,1aa8b9f32b87444885ab4595b196acba,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-02-06 00:00:00-05:00,CryptoTrader,088aaeaf5efa406595bec63690d26350,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-02-06 00:00:00-05:00,CryptoTrader,90520b89ebb6451289feed059373737d,BTC,sell,market,new,1,day,0.0,1,crypto,,,
2023-02-06 00:00:00-05:00,CryptoTrader,0f8949468b99438cb125ab06e4fe0396,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-02-06 00:00:00-05:00,CryptoTrader,90520b89ebb6451289feed059373737d,BTC,sell,market,fill,1,day,0.0,1,crypto,0.399,62366.9256440735,0.0
2023-02-06 00:00:00-05:00,CryptoTrader,0f8949468b99438cb125ab06e4fe0396,BTC,sell,market,fill,1,gtc,0.0,1,crypto,0.399,47133.1676583081,0.0
2023-02-07 00:00:00-05:00,CryptoTrader,c9605a13cd8746c9af98f30717f1d7e1,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-02-07 00:00:00-05:00,CryptoTrader,c974a54e33084617b7690b4c222c9b81,BTC,buy,market,canceled,1,day,0.0,1,crypto,,,
