Metric,BTC/USD,Strategy
Risk-Free Rate,4.51%,4.51%
Time in Market,100.0%,7.0%
,,
Total Return,-2%,3%
CAGR% (Annual Return),-20.29%,50.25%
,,
Sharpe,-0.61,2.86
RoMaD,-2.37,166.17
Corr to Benchmark,1.0,0.26
Prob. Sharpe Ratio,35.35%,88.35%
Smart Sharpe,-0.11,0.54
Sortino,-0.77,31.34
Smart Sortino,-0.15,5.92
Sortino/√2,-0.55,22.16
Smart Sortino/√2,-0.1,4.19
Omega,5.42,5.42
,,
Max Drawdown,-8.58%,-0.3%
Longest DD Days,12,28
Volatility (ann.),33.97%,12.45%
R^2,0.07,0.07
Information Ratio,0.09,0.09
Calmar,-2.37,166.17
Skew,-1.08,5.32
Kurtosis,2.76,28.53
,,
Expected Daily%,-0.06%,0.11%
Expected Monthly%,-1.72%,3.17%
Expected Yearly%,-1.72%,3.17%
Daily Value-at-Risk,-2.97%,-0.96%
Expected Shortfall (cVaR),-2.97%,-0.96%
,,
MTD,-1.72%,3.17%
3M,-1.72%,3.17%
6M,-1.72%,3.17%
YTD,-1.72%,3.17%
1Y,-1.72%,3.17%
3Y (ann.),-20.29%,50.25%
5Y (ann.),-20.29%,50.25%
10Y (ann.),-20.29%,50.25%
All-time (ann.),-20.29%,50.25%
,,
Best Day,3.01%,3.49%
Worst Day,-5.83%,-0.3%
Best Month,-1.72%,3.17%
Worst Month,-1.72%,3.17%
Best Year,-1.72%,3.17%
Worst Year,-1.72%,3.17%
,,
Avg. Drawdown,-2.42%,-0.3%
Avg. Drawdown Days,4,28
Recovery Factor,0.15,10.53
Ulcer Index,0.04,0.0
Serenity Index,-0.45,-7.41
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,16.0,14.5
Loss Days,13.0,14.5
Win Days%,55.17%,50.0%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,0.09
Alpha,-,0.42
Correlation,-,25.83%
Treynor Ratio,-,-14.08%
