time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-10-01 00:00:00-04:00,CryptoTrader,dc11667517ee4041b7b2dfa9e7496258,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-10-01 00:00:00-04:00,CryptoTrader,dc11667517ee4041b7b2dfa9e7496258,BTC,sell,market,fill,1,gtc,0.0,1,crypto,63325.0,0.4110550797364644,0.0
2024-10-02 00:00:00-04:00,CryptoTrader,cff9b0a22ce44037b18883d04fe30fc6,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-10-02 00:00:00-04:00,CryptoTrader,cff9b0a22ce44037b18883d04fe30fc6,BTC,sell,market,fill,1,gtc,0.0,1,crypto,60819.1,0.5196233172933572,0.0
2024-10-03 00:00:00-04:00,CryptoTrader,21a35bfe6a0e495a97a44967cea27c9d,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-10-03 00:00:00-04:00,CryptoTrader,21a35bfe6a0e495a97a44967cea27c9d,BTC,sell,market,fill,1,gtc,0.0,1,crypto,60643.9,0.6488068962468803,0.0
2024-10-05 00:00:00-04:00,CryptoTrader,5b6086c463224b76ae91f83e8dfefc2d,BTC,buy,market,new,1,day,0.0,1,crypto,,,
2024-10-05 00:00:00-04:00,CryptoTrader,5d35fc5b002f4b6889f19bb41d5996ad,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-10-05 00:00:00-04:00,CryptoTrader,5b6086c463224b76ae91f83e8dfefc2d,BTC,buy,market,fill,1,day,0.0,1,crypto,62081.0,1.5794852932767018,0.0
2024-10-05 00:00:00-04:00,CryptoTrader,5d35fc5b002f4b6889f19bb41d5996ad,BTC,buy,market,fill,1,gtc,0.0,1,crypto,62081.0,0.7936439989218772,0.0
2024-10-07 00:00:00-04:00,CryptoTrader,ea2662b8d53f43dca62551c7e42df518,BTC,sell,market,new,1,day,0.0,1,crypto,,,
2024-10-07 00:00:00-04:00,CryptoTrader,5f9d2b2f2a7e458fba994ddf5b4e991f,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-10-07 00:00:00-04:00,CryptoTrader,ea2662b8d53f43dca62551c7e42df518,BTC,sell,market,fill,1,day,0.0,1,crypto,62809.4,0.7936439989218772,0.0
2024-10-07 00:00:00-04:00,CryptoTrader,5f9d2b2f2a7e458fba994ddf5b4e991f,BTC,sell,market,fill,1,gtc,0.0,1,crypto,62809.4,0.19945908854332733,0.0
2024-10-11 00:00:00-04:00,CryptoTrader,ec9d354387734adf877cfba2b0d169e3,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-10-11 00:00:00-04:00,CryptoTrader,ec9d354387734adf877cfba2b0d169e3,BTC,sell,market,fill,1,gtc,0.0,1,crypto,60275.9,0.4480990177563748,0.0
2024-10-12 00:00:00-04:00,CryptoTrader,c3852708912b4e9d8acc9218260e9739,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-10-12 00:00:00-04:00,CryptoTrader,c3852708912b4e9d8acc9218260e9739,BTC,sell,market,fill,1,gtc,0.0,1,crypto,62502.5,0.5501345554794439,0.0
2024-10-13 00:00:00-04:00,CryptoTrader,894dc84d9f0149ea85f40a99ce0959a3,BTC,buy,market,new,1,day,0.0,1,crypto,,,
2024-10-13 00:00:00-04:00,CryptoTrader,47f1b752b654432cbe15998a13390887,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-10-13 00:00:00-04:00,CryptoTrader,894dc84d9f0149ea85f40a99ce0959a3,BTC,buy,market,fill,1,day,0.0,1,crypto,63184.9,1.197692661779146,0.0
2024-10-13 00:00:00-04:00,CryptoTrader,47f1b752b654432cbe15998a13390887,BTC,buy,market,fill,1,gtc,0.0,1,crypto,63184.9,0.6899970878743606,0.0
2024-10-14 00:00:00-04:00,CryptoTrader,ac4ff8c2d45b45da83912836531814e3,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-10-14 00:00:00-04:00,CryptoTrader,ac4ff8c2d45b45da83912836531814e3,BTC,buy,market,fill,1,gtc,0.0,1,crypto,62834.9,0.20503481232487755,0.0
2024-10-15 00:00:00-04:00,CryptoTrader,669cc63b843f48a59e28ad52f4c90b8f,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
