Metric,BTC/USD,Strategy
Risk-Free Rate,4.19%,4.19%
Time in Market,99.0%,100.0%
,,
Total Return,-3%,-21%
CAGR% (Annual Return),-10.08%,-51.42%
,,
Sharpe,-0.01,-0.53
RoMaD,-0.36,-1.32
Corr to Benchmark,1.0,0.23
Prob. Sharpe Ratio,33.85%,23.47%
Smart Sharpe,-0.01,-0.35
Sortino,-0.02,-0.71
Smart Sortino,-0.01,-0.47
Sortino/√2,-0.02,-0.5
Smart Sortino/√2,-0.01,-0.33
Omega,0.9,0.9
,,
Max Drawdown,-28.15%,-39.04%
Longest DD Days,99,113
Volatility (ann.),52.97%,80.69%
R^2,0.05,0.05
Information Ratio,-0.03,-0.03
Calmar,-0.36,-1.32
Skew,0.28,-0.38
Kurtosis,1.79,10.13
,,
Expected Daily%,-0.03%,-0.2%
Expected Monthly%,-0.84%,-5.57%
Expected Yearly%,-3.32%,-20.5%
Daily Value-at-Risk,-4.55%,-7.05%
Expected Shortfall (cVaR),-4.55%,-7.05%
,,
MTD,11.33%,4.84%
3M,-8.54%,-17.44%
6M,-3.32%,-20.5%
YTD,-3.32%,-20.5%
1Y,-3.32%,-20.5%
3Y (ann.),-10.08%,-51.42%
5Y (ann.),-10.08%,-51.42%
10Y (ann.),-10.08%,-51.42%
All-time (ann.),-10.08%,-51.42%
,,
Best Day,9.61%,20.01%
Worst Day,-8.63%,-18.44%
Best Month,11.33%,4.84%
Worst Month,-14.51%,-21.76%
Best Year,-3.32%,-20.5%
Worst Year,-3.32%,-20.5%
,,
Avg. Drawdown,-13.56%,-39.04%
Avg. Drawdown Days,37,113
Recovery Factor,0.04,0.32
Ulcer Index,0.15,0.2
Serenity Index,-0.02,-0.11
,,
Avg. Up Month,11.33%,4.84%
Avg. Down Month,-7.73%,-11.07%
Win Days,56.97,54.47
Loss Days,60.03,62.53
Win Days%,48.7%,46.55%
Win Month%,50.0%,25.0%
Win Quarter%,50.0%,50.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.36
Alpha,-,-0.4
Correlation,-,23.45%
Treynor Ratio,-,-69.12%
