datetime,portfolio_value,cash,positions,return
2025-01-01 00:00:00-05:00,100000.0,100000.0,[],
2025-01-02 00:00:00-05:00,100909.71892588324,75267.53322709704,"[{'asset': BTC, 'quantity': 0.26488438326439273}]",0.009097189258832294
2025-01-03 00:00:00-05:00,101980.7034227385,56921.882562790466,"[{'asset': BTC, 'quantity': 0.45926323178466083}]",0.010613293825958214
2025-01-04 00:00:00-05:00,102229.2037582906,42880.810966264435,"[{'asset': BTC, 'quantity': 0.604307682827383}]",0.0024367387869643764
2025-01-05 00:00:00-05:00,102309.29945403247,32171.28379308495,"[{'asset': BTC, 'quantity': 0.7134648237949135}]",0.0007834913390427634
2025-01-06 00:00:00-05:00,105431.41267245253,24136.423344540755,"[{'asset': BTC, 'quantity': 0.7952787983791334}]",0.030516416739055252
2025-01-07 00:00:00-05:00,101143.43455251532,18333.45902610777,"[{'asset': BTC, 'quantity': 0.854308222927031}]",-0.0406707831304397
2025-01-08 00:00:00-05:00,99205.709655828,13499.970132409935,"[{'asset': BTC, 'quantity': 0.9015924562006691}]",-0.01915818762987742
2025-01-09 00:00:00-05:00,96925.85281183338,13499.970132409935,"[{'asset': BTC, 'quantity': 0.9015924562006691}]",-0.022981105139049718
2025-01-10 00:00:00-05:00,99218.61720034959,102672.65233526839,"[{'asset': BTC, 'quantity': -0.03647390605708621}]",0.02365482811863684
2025-01-11 00:00:00-05:00,99223.6031833076,102672.65233526839,"[{'asset': BTC, 'quantity': -0.03647390605708621}]",5.02524939240967e-05
2025-01-12 00:00:00-05:00,99227.6955555672,102672.65233526839,"[{'asset': BTC, 'quantity': -0.03647390605708621}]",4.124393922722014e-05
2025-01-13 00:00:00-05:00,99226.33872626188,102672.65233526839,"[{'asset': BTC, 'quantity': -0.03647390605708621}]",-1.367389716877554e-05
2025-01-14 00:00:00-05:00,98577.50307531445,128330.73691259719,"[{'asset': BTC, 'quantity': -0.30813176288428373}]",-0.00653894580084613
2025-01-15 00:00:00-05:00,97364.60401707306,128330.73691259719,"[{'asset': BTC, 'quantity': -0.30813176288428373}]",-0.01230401481476684
2025-01-16 00:00:00-05:00,99668.22571745781,67751.45162134677,"[{'asset': BTC, 'quantity': 0.31924212437609006}]",0.023659744972421626
2025-01-17 00:00:00-05:00,101590.07057043316,50725.52518582561,"[{'asset': BTC, 'quantity': 0.48866022784756585}]",0.019282422649154585
2025-01-18 00:00:00-05:00,102269.55990739664,38545.24764219086,"[{'asset': BTC, 'quantity': 0.610491389944682}]",0.006688540849987712
2025-01-19 00:00:00-05:00,100321.54293122218,38545.24764219086,"[{'asset': BTC, 'quantity': 0.610491389944682}]",-0.01904786700889649
2025-01-20 00:00:00-05:00,100703.42555469858,28605.069999623563,"[{'asset': BTC, 'quantity': 0.7057202382381358}]",0.003806586425192826
2025-01-21 00:00:00-05:00,103526.30650765113,28605.069999623563,"[{'asset': BTC, 'quantity': 0.7057202382381358}]",0.02803162789551039
2025-01-22 00:00:00-05:00,101853.38722151441,21724.64220286107,"[{'asset': BTC, 'quantity': 0.7730815691365851}]",-0.016159364151691058
2025-01-23 00:00:00-05:00,101945.92169495623,16161.732837906682,"[{'asset': BTC, 'quantity': 0.8254813679828324}]",0.0009085065893839062
2025-01-24 00:00:00-05:00,102705.52964977402,16161.732837906682,"[{'asset': BTC, 'quantity': 0.8254813679828324}]",0.007451087225349706
2025-01-25 00:00:00-05:00,102624.17760171312,12156.763119978694,"[{'asset': BTC, 'quantity': 0.8640202633845733}]",-0.0007920902441992395
2025-01-26 00:00:00-05:00,100737.08625277472,9113.648002000278,"[{'asset': BTC, 'quantity': 0.8930464319033734}]",-0.018388370002459298
2025-01-27 00:00:00-05:00,100323.42714551708,9113.648002000278,"[{'asset': BTC, 'quantity': 0.8930464319033734}]",-0.004106323923442345
2025-01-28 00:00:00-05:00,99579.07294452563,9113.648002000278,"[{'asset': BTC, 'quantity': 0.8930464319033734}]",-0.007419545186706844
2025-01-29 00:00:00-05:00,101729.70736183533,9113.648002000278,"[{'asset': BTC, 'quantity': 0.8930464319033734}]",0.021597252853597038
