Metric,BTC/USD,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,100.0%,2.0%
,,
Total Return,117%,-0%
CAGR% (Annual Return),133.49%,-0.0%
,,
Sharpe,1.76,-6.54
RoMaD,5.1,-0.01
Corr to Benchmark,1.0,0.01
Prob. Sharpe Ratio,79.77%,16.9%
Smart Sharpe,1.6,-5.96
Sortino,2.87,-9.59
Smart Sortino,2.61,-8.74
Sortino/√2,2.03,-6.78
Smart Sortino/√2,1.85,-6.18
Omega,0.11,0.11
,,
Max Drawdown,-26.18%,-0.48%
Longest DD Days,237,314
Volatility (ann.),53.29%,0.78%
R^2,0.0,0.0
Information Ratio,-0.1,-0.1
Calmar,5.1,-0.01
Skew,0.56,7.64
Kurtosis,2.05,179.44
,,
Expected Daily%,0.23%,-0.0%
Expected Monthly%,7.29%,-0.0%
Expected Yearly%,116.76%,-0.0%
Daily Value-at-Risk,-4.32%,-0.07%
Expected Shortfall (cVaR),-4.32%,-0.07%
,,
MTD,-3.98%,0.0%
3M,47.42%,0.0%
6M,48.96%,0.0%
YTD,116.76%,-0.0%
1Y,116.76%,-0.0%
3Y (ann.),133.49%,-0.0%
5Y (ann.),133.49%,-0.0%
10Y (ann.),133.49%,-0.0%
All-time (ann.),133.49%,-0.0%
,,
Best Day,12.01%,0.62%
Worst Day,-8.42%,-0.39%
Best Month,44.94%,0.0%
Worst Month,-16.37%,-0.0%
Best Year,116.76%,-0.0%
Worst Year,116.76%,-0.0%
,,
Avg. Drawdown,-4.53%,-0.48%
Avg. Drawdown Days,18,314
Recovery Factor,3.45,0.0
Ulcer Index,0.12,0.0
Serenity Index,0.98,-0.73
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,176.0,83.5
Loss Days,158.0,250.5
Win Days%,52.69%,25.0%
Win Month%,63.64%,0.0%
Win Quarter%,50.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.0
Alpha,-,-0.0
Correlation,-,0.52%
Treynor Ratio,-,-69079.33%
