time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-31 00:00:00-05:00,MLTrader,08c985c6ce9a4a03bdccf4b2290750df,BTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-31 00:00:00-05:00,MLTrader,08c985c6ce9a4a03bdccf4b2290750df,BTC,sell,market,fill,1,gtc,0.0,1,stock,42956.0,1.1750411851935412,0.0
2024-02-01 00:00:00-05:00,MLTrader,e2945d316d8b4b74ae5c745435a6f53e,BTC,buy,market,canceled,1,day,0.0,1,stock,,,
2024-02-01 00:00:00-05:00,MLTrader,1eeaabd41dbb4eab98240762bc67accf,BTC,buy,market,fill,1,day,0.0,1,stock,42551.7,1.1750411851935412,0.0
2024-02-20 00:00:00-05:00,MLTrader,b62daa34a0994c46a7dc68d67e241a3e,BTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-02-20 00:00:00-05:00,MLTrader,b62daa34a0994c46a7dc68d67e241a3e,BTC,sell,market,fill,1,gtc,0.0,1,stock,51771.2,0.9611141852720174,0.0
2024-02-21 00:00:00-05:00,MLTrader,e03f08538eb94117bd028d0ac93624b8,BTC,buy,market,canceled,1,day,0.0,1,stock,,,
2024-02-21 00:00:00-05:00,MLTrader,ba495d10032048ae82a1761be85ab7f6,BTC,buy,market,fill,1,day,0.0,1,stock,52270.1,0.9611141852720174,0.0
2024-03-15 01:00:00-04:00,MLTrader,6fee88855ecb46128e883e38a5a422d5,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-15 01:00:00-04:00,MLTrader,6fee88855ecb46128e883e38a5a422d5,BTC,buy,market,fill,1,gtc,0.0,1,stock,71371.3,0.7195085343547561,0.0
2024-03-16 01:00:00-04:00,MLTrader,f39c3fcc4f304859baf8be7879e0e7b5,BTC,sell,market,canceled,1,day,0.0,1,stock,,,
2024-03-16 01:00:00-04:00,MLTrader,54df2d864223492f9d3d9c44bbf29650,BTC,sell,market,fill,1,day,0.0,1,stock,69488.9,0.7195085343547561,0.0
2024-04-02 01:00:00-04:00,MLTrader,8f85d4bae97043e5b523f8d0ee7e41df,BTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-02 01:00:00-04:00,MLTrader,8f85d4bae97043e5b523f8d0ee7e41df,BTC,sell,market,fill,1,gtc,0.0,1,stock,69681.1,0.7534737480374484,0.0
2024-04-03 01:00:00-04:00,MLTrader,a0dd711e69364704bea533cb16c3ad6f,BTC,buy,market,canceled,1,day,0.0,1,stock,,,
2024-04-03 01:00:00-04:00,MLTrader,ee6a1b0e192e47f59f9a64cf34e1fe57,BTC,buy,market,fill,1,day,0.0,1,stock,65457.6,0.7534737480374484,0.0
2024-04-10 01:00:00-04:00,MLTrader,ea2825ae7389433e975e6544fc3d9258,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-10 01:00:00-04:00,MLTrader,ea2825ae7389433e975e6544fc3d9258,BTC,buy,market,fill,1,gtc,0.0,1,stock,69159.9,0.7210047470119069,0.0
2024-04-11 01:00:00-04:00,MLTrader,584add79837b477ebf1a2e506b972775,BTC,sell,market,canceled,1,day,0.0,1,stock,,,
2024-04-11 01:00:00-04:00,MLTrader,905d2182eb7c4612aa6cf62311bbc0eb,BTC,sell,market,fill,1,day,0.0,1,stock,70612.3,0.7210047470119069,0.0
