Metric,LTC/USD,Strategy
Risk-Free Rate,4.43%,4.43%
Time in Market,100.0%,100.0%
,,
Total Return,5%,-7%
CAGR% (Annual Return),7.62%,-11.46%
,,
Sharpe,0.3,-0.31
RoMaD,0.31,-0.61
Corr to Benchmark,1.0,0.02
Prob. Sharpe Ratio,36.07%,21.09%
Smart Sharpe,0.3,-0.31
Sortino,0.46,-0.42
Smart Sortino,0.45,-0.42
Sortino/√2,0.32,-0.3
Smart Sortino/√2,0.32,-0.29
Omega,0.96,0.96
,,
Max Drawdown,-24.71%,-18.78%
Longest DD Days,203,63
Volatility (ann.),48.95%,34.15%
R^2,0.0,0.0
Information Ratio,-0.02,-0.02
Calmar,0.31,-0.61
Skew,0.53,-0.3
Kurtosis,2.23,1.17
,,
Expected Daily%,0.02%,-0.03%
Expected Monthly%,0.56%,-0.92%
Expected Yearly%,4.55%,-7.1%
Daily Value-at-Risk,-4.16%,-2.96%
Expected Shortfall (cVaR),-4.16%,-2.96%
,,
MTD,15.51%,-7.66%
3M,8.68%,-4.66%
6M,15.91%,-7.16%
YTD,4.55%,-7.1%
1Y,4.55%,-7.1%
3Y (ann.),7.62%,-11.46%
5Y (ann.),7.62%,-11.46%
10Y (ann.),7.62%,-11.46%
All-time (ann.),7.62%,-11.46%
,,
Best Day,12.01%,5.03%
Worst Day,-7.05%,-6.72%
Best Month,16.21%,13.0%
Worst Month,-16.37%,-8.28%
Best Year,4.55%,-7.1%
Worst Year,4.55%,-7.1%
,,
Avg. Drawdown,-7.71%,-7.84%
Avg. Drawdown Days,43,21
Recovery Factor,0.47,0.2
Ulcer Index,0.12,0.08
Serenity Index,0.07,-0.13
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,110.5,111.0
Loss Days,111.5,111.0
Win Days%,49.77%,50.0%
Win Month%,62.5%,37.5%
Win Quarter%,50.0%,25.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.02
Alpha,-,-0.07
Correlation,-,2.28%
Treynor Ratio,-,-724.95%
