Metric,LTC/USD,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,100.0%,32.0%
,,
Total Return,59%,76%
CAGR% (Annual Return),76.15%,99.56%
,,
Sharpe,1.23,1.25
RoMaD,2.91,2.31
Corr to Benchmark,1.0,-0.01
Prob. Sharpe Ratio,61.76%,60.98%
Smart Sharpe,1.03,1.05
Sortino,1.92,1.81
Smart Sortino,1.61,1.52
Sortino/√2,1.36,1.28
Smart Sortino/√2,1.14,1.07
Omega,1.41,1.41
,,
Max Drawdown,-26.18%,-43.16%
Longest DD Days,232,231
Volatility (ann.),53.0%,72.98%
R^2,0.0,0.0
Information Ratio,0.02,0.02
Calmar,2.91,2.31
Skew,0.42,-0.97
Kurtosis,2.01,21.72
,,
Expected Daily%,0.15%,0.19%
Expected Monthly%,4.75%,5.82%
Expected Yearly%,59.01%,76.12%
Daily Value-at-Risk,-4.37%,-6.02%
Expected Shortfall (cVaR),-4.37%,-6.02%
,,
MTD,15.51%,0.0%
3M,6.16%,0.0%
6M,15.91%,0.0%
YTD,59.01%,76.12%
1Y,59.01%,76.12%
3Y (ann.),76.15%,99.56%
5Y (ann.),76.15%,99.56%
10Y (ann.),76.15%,99.56%
All-time (ann.),76.15%,99.56%
,,
Best Day,12.01%,21.82%
Worst Day,-8.42%,-30.92%
Best Month,44.94%,101.03%
Worst Month,-16.37%,-27.91%
Best Year,59.01%,76.12%
Worst Year,59.01%,76.12%
,,
Avg. Drawdown,-6.22%,-13.06%
Avg. Drawdown Days,31,35
Recovery Factor,2.21,1.84
Ulcer Index,0.13,0.13
Serenity Index,0.55,0.97
,,
Avg. Up Month,28.27%,64.17%
Avg. Down Month,-9.44%,-16.23%
Win Days,156.0,178.12
Loss Days,144.0,121.88
Win Days%,52.0%,59.38%
Win Month%,60.0%,50.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.02
Alpha,-,0.98
Correlation,-,-1.37%
Treynor Ratio,-,-3754.3%
