time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,MLTrader,9fc42bd42d154eeca4454aad8def208c,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 00:00:00-05:00,MLTrader,9fc42bd42d154eeca4454aad8def208c,LTC,sell,market,fill,1,gtc,0.0,1,stock,42849.5,1.130917241738084,0.0
2024-01-05 00:00:00-05:00,MLTrader,2b8e956bb88143158a24d856af11848b,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 00:00:00-05:00,MLTrader,2b8e956bb88143158a24d856af11848b,LTC,sell,market,fill,1,gtc,0.0,1,stock,44210.0,1.6801672066919122,0.0
2024-01-06 00:00:00-05:00,MLTrader,74b19efef1ec4df689604b6b54b2aba1,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-06 00:00:00-05:00,MLTrader,74b19efef1ec4df689604b6b54b2aba1,LTC,sell,market,fill,1,gtc,0.0,1,stock,44179.9,2.5334330136226737,0.0
2024-01-12 00:00:00-05:00,MLTrader,c19fc82614b149f8a8ab939bdaf8cae3,LTC,buy,market,new,1,day,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,28c39de563144b1a84f4c0344f3dfa7d,LTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,c19fc82614b149f8a8ab939bdaf8cae3,LTC,buy,market,fill,1,day,0.0,1,stock,46350.4,5.34451746205267,0.0
2024-01-12 00:00:00-05:00,MLTrader,28c39de563144b1a84f4c0344f3dfa7d,LTC,buy,market,fill,1,gtc,0.0,1,stock,46350.4,3.9096432923784503,0.0
