time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,MLTrader,bd32def9b38c4548bbb2e5915fc642a5,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 00:00:00-05:00,MLTrader,bd32def9b38c4548bbb2e5915fc642a5,LTC,sell,market,fill,1,gtc,0.0,1,stock,42849.5,1.130917241738084,0.0
2024-01-05 00:00:00-05:00,MLTrader,588c52ee750246db8079c8a21f5d77f4,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 00:00:00-05:00,MLTrader,588c52ee750246db8079c8a21f5d77f4,LTC,sell,market,fill,1,gtc,0.0,1,stock,44210.0,1.6801672066919122,0.0
2024-01-06 00:00:00-05:00,MLTrader,3bbd66c88b7e4ce9b4ebb5a9a31600f8,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-06 00:00:00-05:00,MLTrader,3bbd66c88b7e4ce9b4ebb5a9a31600f8,LTC,sell,market,fill,1,gtc,0.0,1,stock,44179.9,2.5334330136226737,0.0
2024-01-12 00:00:00-05:00,MLTrader,4a6ee31c79834a1eaaf410aa029925bf,LTC,buy,market,new,1,day,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,53f10d99208a419088947f35fa7afe81,LTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,4a6ee31c79834a1eaaf410aa029925bf,LTC,buy,market,fill,1,day,0.0,1,stock,46350.4,5.34451746205267,0.0
2024-01-12 00:00:00-05:00,MLTrader,53f10d99208a419088947f35fa7afe81,LTC,buy,market,fill,1,gtc,0.0,1,stock,46350.4,3.9096432923784503,0.0
