Metric,LTC/USD,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,100.0%,43.0%
,,
Total Return,59%,43%
CAGR% (Annual Return),76.15%,55.3%
,,
Sharpe,1.23,0.9
RoMaD,2.91,1.28
Corr to Benchmark,1.0,-0.01
Prob. Sharpe Ratio,61.76%,48.75%
Smart Sharpe,1.05,0.77
Sortino,1.92,1.28
Smart Sortino,1.64,1.1
Sortino/√2,1.36,0.91
Smart Sortino/√2,1.16,0.77
Omega,1.24,1.24
,,
Max Drawdown,-26.18%,-43.16%
Longest DD Days,232,231
Volatility (ann.),53.0%,77.97%
R^2,0.0,0.0
Information Ratio,0.0,0.0
Calmar,2.91,1.28
Skew,0.42,-0.8
Kurtosis,2.01,16.31
,,
Expected Daily%,0.15%,0.12%
Expected Monthly%,4.75%,3.67%
Expected Yearly%,59.01%,43.42%
Daily Value-at-Risk,-4.37%,-6.51%
Expected Shortfall (cVaR),-4.37%,-6.51%
,,
MTD,15.51%,0.0%
3M,6.16%,0.0%
6M,15.91%,-7.62%
YTD,59.01%,43.42%
1Y,59.01%,43.42%
3Y (ann.),76.15%,55.3%
5Y (ann.),76.15%,55.3%
10Y (ann.),76.15%,55.3%
All-time (ann.),76.15%,55.3%
,,
Best Day,12.01%,21.82%
Worst Day,-8.42%,-30.92%
Best Month,44.94%,101.03%
Worst Month,-16.37%,-27.91%
Best Year,59.01%,43.42%
Worst Year,59.01%,43.42%
,,
Avg. Drawdown,-6.22%,-13.99%
Avg. Drawdown Days,31,35
Recovery Factor,2.21,1.43
Ulcer Index,0.13,0.23
Serenity Index,0.55,0.28
,,
Avg. Up Month,24.25%,42.95%
Avg. Down Month,-9.44%,-25.29%
Win Days,156.0,167.72
Loss Days,144.0,132.28
Win Days%,52.0%,55.91%
Win Month%,60.0%,60.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.02
Alpha,-,0.77
Correlation,-,-1.34%
Treynor Ratio,-,-1930.02%
