time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,MLTrader,526e91f4856e4f42af2d60161679697d,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 00:00:00-05:00,MLTrader,526e91f4856e4f42af2d60161679697d,LTC,sell,market,fill,1,gtc,0.0,1,stock,42849.5,1.130917241738084,0.0
2024-01-05 00:00:00-05:00,MLTrader,1de113fa659c42f18fe61d5f754b1816,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 00:00:00-05:00,MLTrader,1de113fa659c42f18fe61d5f754b1816,LTC,sell,market,fill,1,gtc,0.0,1,stock,44210.0,1.6801672066919122,0.0
2024-01-06 00:00:00-05:00,MLTrader,3977730c177e492a8c9b1404d5ca2a35,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-06 00:00:00-05:00,MLTrader,3977730c177e492a8c9b1404d5ca2a35,LTC,sell,market,fill,1,gtc,0.0,1,stock,44179.9,2.5334330136226737,0.0
2024-01-12 00:00:00-05:00,MLTrader,2219d22fb8c24d239f973bda51392e96,LTC,buy,market,new,1,day,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,61f9dd5324ea4492a0fab102a7b5d850,LTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,2219d22fb8c24d239f973bda51392e96,LTC,buy,market,fill,1,day,0.0,1,stock,46350.4,5.34451746205267,0.0
2024-01-12 00:00:00-05:00,MLTrader,61f9dd5324ea4492a0fab102a7b5d850,LTC,buy,market,fill,1,gtc,0.0,1,stock,46350.4,3.9096432923784503,0.0
