time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,MLTrader,1d9a919613b044fa9b8c9cf790e41de5,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 00:00:00-05:00,MLTrader,1d9a919613b044fa9b8c9cf790e41de5,LTC,sell,market,fill,1,gtc,0.0,1,stock,65.29,751.9927808693037,0.0
2024-01-12 00:00:00-05:00,MLTrader,e733d5a49719456296ea4dc976fec5c6,LTC,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,51bae4131e5f4568871fa9a61ec89a04,LTC,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,110831290adb425ca3ec243ce2119bd7,LTC,buy,market,new,1,day,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,67477cb50b0d4ce8b0fd2531b4fad712,LTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 00:00:00-05:00,MLTrader,110831290adb425ca3ec243ce2119bd7,LTC,buy,market,fill,1,day,0.0,1,stock,71.91,751.9927808693037,0.0
2024-01-12 00:00:00-05:00,MLTrader,67477cb50b0d4ce8b0fd2531b4fad712,LTC,buy,market,fill,1,gtc,0.0,1,stock,71.91,1022.7576393398056,0.0
2024-01-24 00:00:00-05:00,MLTrader,21d0e718c2b64585b166794e319ffd6d,LTC,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-01-24 00:00:00-05:00,MLTrader,9e212d1b18304b44b23acc9d5baff112,LTC,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-01-24 00:00:00-05:00,MLTrader,86a4ba30fb7448d9b66185d650c537af,LTC,sell,market,new,1,day,0.0,1,stock,,,
2024-01-24 00:00:00-05:00,MLTrader,1acff01b57f84fdb97f0c2ba7af35661,LTC,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-24 00:00:00-05:00,MLTrader,86a4ba30fb7448d9b66185d650c537af,LTC,sell,market,fill,1,day,0.0,1,stock,65.37,1022.7576393398056,0.0
