time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,MLTrader,e43a41d8cc7e40e3b7d1dcaa60674dc4,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 00:00:00-05:00,MLTrader,e43a41d8cc7e40e3b7d1dcaa60674dc4,XRP,sell,market,fill,1,gtc,0.0,1,stock,0.583,85178.87563884158,0.0
2024-01-10 00:00:00-05:00,MLTrader,5feda4766bc24b198d2ab3525b954568,XRP,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-01-10 00:00:00-05:00,MLTrader,46237a1b67e849f0a55cb1484059457b,XRP,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-01-10 00:00:00-05:00,MLTrader,fd121a6145114c4d8283ee1fe538fa6e,XRP,buy,market,new,1,day,0.0,1,stock,,,
2024-01-10 00:00:00-05:00,MLTrader,7a88676644e54512ae2aeeb887ddaf37,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 00:00:00-05:00,MLTrader,fd121a6145114c4d8283ee1fe538fa6e,XRP,buy,market,fill,1,day,0.0,1,stock,0.567,85178.87563884158,0.0
2024-01-10 00:00:00-05:00,MLTrader,7a88676644e54512ae2aeeb887ddaf37,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.567,124508.55615428007,0.0
2024-01-15 00:00:00-05:00,MLTrader,2f006ab5027a4b0cb7e36312432800c0,XRP,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-01-15 00:00:00-05:00,MLTrader,5d7532c3ea4f49c9bf44add3a38dfb94,XRP,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-01-15 00:00:00-05:00,MLTrader,cb3afce24004452f974dfe26627fcfd9,XRP,sell,market,new,1,day,0.0,1,stock,,,
2024-01-15 00:00:00-05:00,MLTrader,2600a6a330a843039174d25a18207cdc,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-15 00:00:00-05:00,MLTrader,cb3afce24004452f974dfe26627fcfd9,XRP,sell,market,fill,1,day,0.0,1,stock,0.576,124508.55615428007,0.0
2024-01-15 00:00:00-05:00,MLTrader,2600a6a330a843039174d25a18207cdc,XRP,sell,market,fill,1,gtc,0.0,1,stock,0.576,26707.040512799194,0.0
2024-01-28 00:00:00-05:00,MLTrader,1954831a059245bebdc54557299a89e3,XRP,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-01-28 00:00:00-05:00,MLTrader,513d96873a804288b854718072c347dc,XRP,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-01-28 00:00:00-05:00,MLTrader,f2a1a9efa8b744cfa6f2210cc2eb1ff4,XRP,buy,market,new,1,day,0.0,1,stock,,,
2024-01-28 00:00:00-05:00,MLTrader,c13fb041da104b14a93a7a3ec6b9e8c5,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-28 00:00:00-05:00,MLTrader,f2a1a9efa8b744cfa6f2210cc2eb1ff4,XRP,buy,market,fill,1,day,0.0,1,stock,0.53,26707.040512799194,0.0
2024-01-28 00:00:00-05:00,MLTrader,c13fb041da104b14a93a7a3ec6b9e8c5,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.53,112468.21980055564,0.0
2024-02-03 00:00:00-05:00,MLTrader,dc7fb93edb07468d9d9fdbeb7f24d050,XRP,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-02-03 00:00:00-05:00,MLTrader,c1007817896045f4aea336b05fac35c0,XRP,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-02-03 00:00:00-05:00,MLTrader,f7491329b7f84527a15b1673aca63d63,XRP,sell,market,new,1,day,0.0,1,stock,,,
2024-02-03 00:00:00-05:00,MLTrader,b298320984d84c63b73d6ed46b663e59,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
2024-02-03 00:00:00-05:00,MLTrader,f7491329b7f84527a15b1673aca63d63,XRP,sell,market,fill,1,day,0.0,1,stock,0.51,112468.21980055564,0.0
2024-02-03 00:00:00-05:00,MLTrader,b298320984d84c63b73d6ed46b663e59,XRP,sell,market,fill,1,gtc,0.0,1,stock,0.51,42489.21617042799,0.0
2024-02-17 00:00:00-05:00,MLTrader,a57d7b7784454c8c8e4801429160300b,XRP,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-02-17 00:00:00-05:00,MLTrader,90f9c48d0a5449acb1cb55ad4a22f1f0,XRP,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-17 00:00:00-05:00,MLTrader,b1dd2dd0bae241b6a27679d9464b7f8e,XRP,buy,market,new,1,day,0.0,1,stock,,,
2024-02-17 00:00:00-05:00,MLTrader,f985f624322f4e729f95e218e17db0c1,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-17 00:00:00-05:00,MLTrader,b1dd2dd0bae241b6a27679d9464b7f8e,XRP,buy,market,fill,1,day,0.0,1,stock,0.565,42489.21617042799,0.0
2024-02-17 00:00:00-05:00,MLTrader,f985f624322f4e729f95e218e17db0c1,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.565,111938.27157282355,0.0
2024-02-25 00:00:00-05:00,MLTrader,39d20b48f48c4f8486db39af6fd22805,XRP,sell,stop,canceled,1,day,0.0,1,stock,,,
