Metric,XRP/USD,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,96.0%,79.0%
,,
Total Return,399%,11%
CAGR% (Annual Return),129.52%,5.51%
,,
Sharpe,1.27,0.2
RoMaD,2.65,0.21
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,80.49%,25.35%
Smart Sharpe,1.13,0.17
Sortino,2.64,0.29
Smart Sortino,2.34,0.26
Sortino/√2,1.87,0.2
Smart Sortino/√2,1.66,0.18
Omega,1.04,1.04
,,
Max Drawdown,-48.9%,-26.06%
Longest DD Days,484,269
Volatility (ann.),89.91%,31.16%
R^2,0.01,0.01
Information Ratio,-0.06,-0.06
Calmar,2.65,0.21
Skew,6.02,0.2
Kurtosis,83.85,16.66
,,
Expected Daily%,0.23%,0.01%
Expected Monthly%,6.93%,0.43%
Expected Yearly%,123.34%,5.32%
Daily Value-at-Risk,-7.42%,-2.65%
Expected Shortfall (cVaR),-7.42%,-2.65%
,,
MTD,-9.33%,3.45%
3M,240.43%,2.45%
6M,337.89%,19.42%
YTD,230.16%,12.86%
1Y,238.21%,12.18%
3Y (ann.),129.52%,5.51%
5Y (ann.),129.52%,5.51%
10Y (ann.),129.52%,5.51%
All-time (ann.),129.52%,5.51%
,,
Best Day,73.04%,10.93%
Worst Day,-14.86%,-12.89%
Best Month,347.17%,14.4%
Worst Month,-29.56%,-12.53%
Best Year,230.16%,12.86%
Worst Year,51.08%,-1.71%
,,
Avg. Drawdown,-17.74%,-9.77%
Avg. Drawdown Days,86,87
Recovery Factor,4.68,0.76
Ulcer Index,0.27,0.11
Serenity Index,0.86,0.12
,,
Avg. Up Month,58.38%,8.12%
Avg. Down Month,-9.69%,-6.38%
Win Days,359.79,345.22
Loss Days,347.21,361.78
Win Days%,50.89%,48.83%
Win Month%,54.17%,50.0%
Win Quarter%,62.5%,50.0%
Win Year%,100.0%,50.0%
,,
Beta,-,0.03
Alpha,-,0.07
Correlation,-,7.85%
Treynor Ratio,-,246.94%
