time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-24 00:00:00-05:00,MLTrader,279eaca5c3f74434b63c1bed8d820b4b,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-24 00:00:00-05:00,MLTrader,279eaca5c3f74434b63c1bed8d820b4b,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.423,122549.01960784315,0.0
2023-01-27 00:00:00-05:00,MLTrader,1aa5bb8ac5914aacbd97d29297dbd621,XRP,sell,market,new,1,day,0.0,1,stock,,,
2023-01-27 00:00:00-05:00,MLTrader,c5b3483a5c0944808322bae85ed86ee5,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-27 00:00:00-05:00,MLTrader,1aa5bb8ac5914aacbd97d29297dbd621,XRP,sell,market,fill,1,day,0.0,1,stock,0.409,122549.01960784315,0.0
2023-01-27 00:00:00-05:00,MLTrader,c5b3483a5c0944808322bae85ed86ee5,XRP,sell,market,fill,1,gtc,0.0,1,stock,0.409,58307.22119356217,0.0
2023-02-03 00:00:00-05:00,MLTrader,288405dfe8344630b9ed15ce1d9dbc45,XRP,buy,market,new,1,day,0.0,1,stock,,,
2023-02-03 00:00:00-05:00,MLTrader,b9f3a0e40ccc4408a5a4a9eff3ca8d73,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 00:00:00-05:00,MLTrader,288405dfe8344630b9ed15ce1d9dbc45,XRP,buy,market,fill,1,day,0.0,1,stock,0.41,58307.22119356217,0.0
2023-02-03 00:00:00-05:00,MLTrader,b9f3a0e40ccc4408a5a4a9eff3ca8d73,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.41,148218.40678841886,0.0
2023-02-11 00:00:00-05:00,MLTrader,e353e066a805462c97c11b795b681b42,XRP,sell,market,new,1,day,0.0,1,stock,,,
2023-02-11 00:00:00-05:00,MLTrader,c092e4ebaa6246ce89149a4b2e5d1719,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-11 00:00:00-05:00,MLTrader,e353e066a805462c97c11b795b681b42,XRP,sell,market,fill,1,day,0.0,1,stock,0.382,148218.40678841886,0.0
2023-02-11 00:00:00-05:00,MLTrader,c092e4ebaa6246ce89149a4b2e5d1719,XRP,sell,market,fill,1,gtc,0.0,1,stock,0.382,48771.431928443904,0.0
2023-03-22 01:00:00-04:00,MLTrader,f97c31b8463f4b6dae5e1074951f1c65,XRP,buy,market,new,1,day,0.0,1,stock,,,
2023-03-22 01:00:00-04:00,MLTrader,bb8d87fdc7214fb8be169b22313ed8f2,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-22 01:00:00-04:00,MLTrader,f97c31b8463f4b6dae5e1074951f1c65,XRP,buy,market,fill,1,day,0.0,1,stock,0.47,48771.431928443904,0.0
2023-03-22 01:00:00-04:00,MLTrader,bb8d87fdc7214fb8be169b22313ed8f2,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.47,133538.59965744847,0.0
2023-04-20 01:00:00-04:00,MLTrader,b3c97eaef09246388a1f184aacf73148,XRP,sell,market,new,1,day,0.0,1,stock,,,
2023-04-20 01:00:00-04:00,MLTrader,b406b11c13a54112bd94d9f90176f06d,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-20 01:00:00-04:00,MLTrader,b3c97eaef09246388a1f184aacf73148,XRP,sell,market,fill,1,day,0.0,1,stock,0.492,133538.59965744847,0.0
2023-04-20 01:00:00-04:00,MLTrader,b406b11c13a54112bd94d9f90176f06d,XRP,sell,market,fill,1,gtc,0.0,1,stock,0.492,28383.25973268602,0.0
2023-04-28 01:00:00-04:00,MLTrader,2eef0faefdda4c6289005c07008ae5d0,XRP,buy,market,new,1,day,0.0,1,stock,,,
2023-04-28 01:00:00-04:00,MLTrader,ced0c3bf07f14c409da6883dadff7f84,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-28 01:00:00-04:00,MLTrader,2eef0faefdda4c6289005c07008ae5d0,XRP,buy,market,fill,1,day,0.0,1,stock,0.466,28383.25973268602,0.0
2023-04-28 01:00:00-04:00,MLTrader,ced0c3bf07f14c409da6883dadff7f84,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.466,111131.6855056909,0.0
2023-06-15 01:00:00-04:00,MLTrader,f817c138249b49ce8b5097d54d5a21b9,XRP,sell,market,new,1,day,0.0,1,stock,,,
2023-06-15 01:00:00-04:00,MLTrader,89786713bcca436d8fbb823e042bd8bf,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-15 01:00:00-04:00,MLTrader,f817c138249b49ce8b5097d54d5a21b9,XRP,sell,market,fill,1,day,0.0,1,stock,0.48,111131.6855056909,0.0
2023-06-15 01:00:00-04:00,MLTrader,89786713bcca436d8fbb823e042bd8bf,XRP,sell,market,fill,1,gtc,0.0,1,stock,0.48,43408.80583789543,0.0
2023-07-19 01:00:00-04:00,MLTrader,bd5f465460dd4b8d880e7711cbdc8837,XRP,buy,market,new,1,day,0.0,1,stock,,,
2023-07-19 01:00:00-04:00,MLTrader,c7970e0959f74c16a245998807ea25c0,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-19 01:00:00-04:00,MLTrader,bd5f465460dd4b8d880e7711cbdc8837,XRP,buy,market,fill,1,day,0.0,1,stock,0.778,43408.80583789543,0.0
2023-07-19 01:00:00-04:00,MLTrader,c7970e0959f74c16a245998807ea25c0,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.778,70641.39600567137,0.0
2023-08-17 01:00:00-04:00,MLTrader,bf97c0cfcb9c43a58dd9cfefc79d2f2f,XRP,sell,market,new,1,day,0.0,1,stock,,,
2023-08-17 01:00:00-04:00,MLTrader,d4e6c571acce4e3fa3b24ff0e9dfb94d,XRP,sell,market,new,1,gtc,0.0,1,stock,,,
