Metric,XRP/USD,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,96.0%,56.0%
,,
Total Return,20%,-19%
CAGR% (Annual Return),12.25%,-12.46%
,,
Sharpe,0.43,-0.55
RoMaD,0.25,-0.37
Corr to Benchmark,1.0,0.07
Prob. Sharpe Ratio,23.62%,3.67%
Smart Sharpe,0.38,-0.48
Sortino,0.85,-0.68
Smart Sortino,0.75,-0.6
Sortino/√2,0.6,-0.48
Smart Sortino/√2,0.53,-0.42
Omega,0.88,0.88
,,
Max Drawdown,-48.9%,-33.85%
Longest DD Days,471,582
Volatility (ann.),82.51%,26.67%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.25,-0.37
Skew,8.31,-4.34
Kurtosis,139.22,60.77
,,
Expected Daily%,0.03%,-0.04%
Expected Monthly%,0.93%,-1.06%
Expected Yearly%,9.74%,-10.15%
Daily Value-at-Risk,-6.99%,-2.32%
Expected Shortfall (cVaR),-6.99%,-2.32%
,,
MTD,-14.07%,0.0%
3M,-17.66%,0.0%
6M,2.6%,0.0%
YTD,-18.57%,-9.73%
1Y,-14.5%,-5.79%
3Y (ann.),12.25%,-12.46%
5Y (ann.),12.25%,-12.46%
10Y (ann.),12.25%,-12.46%
All-time (ann.),12.25%,-12.46%
,,
Best Day,73.04%,6.52%
Worst Day,-13.78%,-18.78%
Best Month,49.47%,13.06%
Worst Month,-29.56%,-12.3%
Best Year,47.89%,-9.73%
Worst Year,-18.57%,-10.58%
,,
Avg. Drawdown,-27.88%,-33.85%
Avg. Drawdown Days,194,582
Recovery Factor,1.33,0.46
Ulcer Index,0.29,0.25
Serenity Index,0.19,-0.03
,,
Avg. Up Month,8.92%,5.23%
Avg. Down Month,-19.36%,-9.09%
Win Days,299.21,297.61
Loss Days,288.79,290.39
Win Days%,50.89%,50.61%
Win Month%,60.0%,46.15%
Win Quarter%,50.0%,40.0%
Win Year%,50.0%,0.0%
,,
Beta,-,0.02
Alpha,-,-0.1
Correlation,-,6.57%
Treynor Ratio,-,-1153.07%
