Metric,XRP/USD,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,96.0%,19.0%
,,
Total Return,20%,27%
CAGR% (Annual Return),12.23%,16.26%
,,
Sharpe,0.44,0.47
RoMaD,0.25,1.35
Corr to Benchmark,1.0,-0.11
Prob. Sharpe Ratio,30.92%,34.43%
Smart Sharpe,0.33,0.36
Sortino,0.86,1.24
Smart Sortino,0.66,0.94
Sortino/√2,0.61,0.88
Smart Sortino/√2,0.46,0.66
Omega,1.34,1.34
,,
Max Drawdown,-48.9%,-12.09%
Longest DD Days,472,477
Volatility (ann.),82.44%,32.4%
R^2,0.01,0.01
Information Ratio,-0.01,-0.01
Calmar,0.25,1.35
Skew,8.31,16.65
Kurtosis,139.46,376.32
,,
Expected Daily%,0.03%,0.04%
Expected Monthly%,0.89%,1.16%
Expected Yearly%,9.74%,12.91%
Daily Value-at-Risk,-6.99%,-2.74%
Expected Shortfall (cVaR),-6.99%,-2.74%
,,
MTD,0.0%,0.0%
3M,-13.93%,0.0%
6M,-0.77%,0.0%
YTD,-18.57%,0.0%
1Y,-15.76%,0.0%
3Y (ann.),12.23%,16.26%
5Y (ann.),12.23%,16.26%
10Y (ann.),12.23%,16.26%
All-time (ann.),12.23%,16.26%
,,
Best Day,73.04%,36.71%
Worst Day,-13.78%,-11.63%
Best Month,49.47%,20.55%
Worst Month,-29.56%,-6.57%
Best Year,47.89%,27.48%
Worst Year,-18.57%,0.0%
,,
Avg. Drawdown,-27.88%,-11.86%
Avg. Drawdown Days,194,291
Recovery Factor,1.33,2.61
Ulcer Index,0.29,0.11
Serenity Index,0.2,0.28
,,
Avg. Up Month,26.07%,12.8%
Avg. Down Month,-7.76%,-5.52%
Win Days,299.72,330.28
Loss Days,289.28,258.72
Win Days%,50.89%,56.07%
Win Month%,60.0%,60.0%
Win Quarter%,50.0%,66.67%
Win Year%,50.0%,100.0%
,,
Beta,-,-0.05
Alpha,-,0.21
Correlation,-,-11.46%
Treynor Ratio,-,-512.28%
