Metric,BTC/USD,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,96.0%,90.0%
,,
Total Return,26%,-14%
CAGR% (Annual Return),13.79%,-7.91%
,,
Sharpe,0.45,-0.43
RoMaD,0.28,-0.25
Corr to Benchmark,1.0,-0.07
Prob. Sharpe Ratio,31.1%,7.51%
Smart Sharpe,0.35,-0.33
Sortino,0.9,-0.6
Smart Sortino,0.69,-0.46
Sortino/√2,0.64,-0.43
Smart Sortino/√2,0.49,-0.33
Omega,0.93,0.93
,,
Max Drawdown,-48.9%,-31.99%
Longest DD Days,472,474
Volatility (ann.),82.3%,23.04%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.28,-0.25
Skew,7.87,0.28
Kurtosis,129.05,8.56
,,
Expected Daily%,0.04%,-0.02%
Expected Monthly%,1.0%,-0.63%
Expected Yearly%,12.13%,-7.04%
Daily Value-at-Risk,-6.97%,-2.0%
Expected Shortfall (cVaR),-6.97%,-2.0%
,,
MTD,0.0%,0.11%
3M,-13.93%,-1.24%
6M,-0.77%,-6.07%
YTD,-18.57%,-15.7%
1Y,-15.76%,-18.81%
3Y (ann.),13.79%,-7.91%
5Y (ann.),13.79%,-7.91%
10Y (ann.),13.79%,-7.91%
All-time (ann.),13.79%,-7.91%
,,
Best Day,73.04%,7.59%
Worst Day,-13.78%,-5.96%
Best Month,49.47%,5.11%
Worst Month,-29.56%,-7.0%
Best Year,54.41%,2.51%
Worst Year,-18.57%,-15.7%
,,
Avg. Drawdown,-21.43%,-6.78%
Avg. Drawdown Days,128,90
Recovery Factor,1.51,0.31
Ulcer Index,0.28,0.17
Serenity Index,0.24,-0.03
,,
Avg. Up Month,18.71%,2.07%
Avg. Down Month,-14.58%,-3.14%
Win Days,327.16,326.23
Loss Days,320.84,321.77
Win Days%,50.49%,50.34%
Win Month%,59.09%,47.83%
Win Quarter%,50.0%,25.0%
Win Year%,50.0%,50.0%
,,
Beta,-,-0.02
Alpha,-,-0.05
Correlation,-,-6.91%
Treynor Ratio,-,929.87%
