Metric,BTC/USD,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,96.0%,87.0%
,,
Total Return,25%,19%
CAGR% (Annual Return),13.68%,10.59%
,,
Sharpe,0.45,0.34
RoMaD,0.28,0.41
Corr to Benchmark,1.0,0.02
Prob. Sharpe Ratio,31.08%,31.45%
Smart Sharpe,0.3,0.23
Sortino,0.9,0.51
Smart Sortino,0.6,0.34
Sortino/√2,0.64,0.36
Smart Sortino/√2,0.42,0.24
Omega,1.08,1.08
,,
Max Drawdown,-48.9%,-25.89%
Longest DD Days,472,233
Volatility (ann.),82.4%,29.83%
R^2,0.0,0.0
Information Ratio,-0.02,-0.02
Calmar,0.28,0.41
Skew,7.87,2.1
Kurtosis,128.83,91.31
,,
Expected Daily%,0.04%,0.03%
Expected Monthly%,0.99%,0.78%
Expected Yearly%,11.99%,9.3%
Daily Value-at-Risk,-6.98%,-2.53%
Expected Shortfall (cVaR),-6.98%,-2.53%
,,
MTD,0.0%,-0.83%
3M,-13.93%,2.96%
6M,-0.77%,-0.49%
YTD,-18.57%,11.88%
1Y,-15.76%,10.97%
3Y (ann.),13.68%,10.59%
5Y (ann.),13.68%,10.59%
10Y (ann.),13.68%,10.59%
All-time (ann.),13.68%,10.59%
,,
Best Day,73.04%,22.22%
Worst Day,-13.78%,-18.05%
Best Month,49.47%,6.81%
Worst Month,-29.56%,-2.89%
Best Year,54.03%,11.88%
Worst Year,-18.57%,6.79%
,,
Avg. Drawdown,-16.02%,-5.8%
Avg. Drawdown Days,91,62
Recovery Factor,1.51,0.99
Ulcer Index,0.28,0.05
Serenity Index,0.23,0.72
,,
Avg. Up Month,12.12%,1.69%
Avg. Down Month,-8.37%,-0.64%
Win Days,326.16,343.91
Loss Days,319.84,302.09
Win Days%,50.49%,53.24%
Win Month%,59.09%,60.87%
Win Quarter%,50.0%,87.5%
Win Year%,50.0%,100.0%
,,
Beta,-,0.01
Alpha,-,0.14
Correlation,-,1.79%
Treynor Ratio,-,2322.93%
