time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-25 00:00:00-05:00,MLTrader,15abf18a779b4c7c83ff5385528cf387,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-01-25 00:00:00-05:00,MLTrader,15abf18a779b4c7c83ff5385528cf387,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.407,59952.03836930456,0.0
2023-01-26 00:00:00-05:00,MLTrader,e23d3c1f07b74a67bf6ad91e2a4a4352,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-01-26 00:00:00-05:00,MLTrader,833efe4f2fde4137b8069cacdf2fce6c,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-26 00:00:00-05:00,MLTrader,565084c1499a4887851b8f92a69d4362,BTC,sell,market,fill,1,day,0.0,1,crypto,0.417,59952.03836930456,0.0
2023-01-26 00:00:00-05:00,MLTrader,e23d3c1f07b74a67bf6ad91e2a4a4352,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.417,46209.975784653456,0.0
2023-01-27 00:00:00-05:00,MLTrader,594b8071424a421cb7bd4e5c33f7940a,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-27 00:00:00-05:00,MLTrader,1eceb133ce2e44479c874fa55aeac4ab,BTC,sell,market,fill,1,day,0.0,1,crypto,0.409,46209.975784653456,0.0
2023-01-30 00:00:00-05:00,MLTrader,826737413e9d4753a2b8ad0bcfd50456,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-01-30 00:00:00-05:00,MLTrader,826737413e9d4753a2b8ad0bcfd50456,BTC,buy,market,fill,1,gtc,0.0,1,crypto,0.413,63597.61457957856,0.0
2023-01-31 00:00:00-05:00,MLTrader,c8a0d9996db44f54ab40b6ff4bc77f4b,BTC,sell,market,canceled,1,day,0.0,1,crypto,,,
2023-01-31 00:00:00-05:00,MLTrader,336dde4f818a4709956b7266662a61e4,BTC,sell,market,fill,1,day,0.0,1,crypto,0.393,63597.61457957856,0.0
2023-02-04 00:00:00-05:00,MLTrader,236a1504f48f4fa497eacdc24c4fdfa6,BTC,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-02-04 00:00:00-05:00,MLTrader,236a1504f48f4fa497eacdc24c4fdfa6,BTC,sell,market,fill,1,gtc,0.0,1,crypto,0.412,60193.36270427266,0.0
2023-02-05 00:00:00-05:00,MLTrader,ce3064d58b98481181782a6d38a10414,BTC,buy,market,canceled,1,day,0.0,1,crypto,,,
2023-02-05 00:00:00-05:00,MLTrader,75b3250b49dd499f99260ae9f197017d,BTC,buy,market,canceled,1,day,0.0,1,crypto,,,
2023-02-05 00:00:00-05:00,MLTrader,14807d293e914b33a4a6a6f47bb6fb39,BTC,buy,market,new,1,day,0.0,1,crypto,,,
2023-02-05 00:00:00-05:00,MLTrader,72fe3424d91d486784198e21f94697b5,BTC,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-02-05 00:00:00-05:00,MLTrader,14807d293e914b33a4a6a6f47bb6fb39,BTC,buy,market,fill,1,day,0.0,1,crypto,0.411,60193.36270427266,0.0
