Metric,BTC/USD,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,96.0%,96.0%
,,
Total Return,21%,-263%
CAGR% (Annual Return),11.18%,31.71%
,,
Sharpe,0.43,0.82
RoMaD,0.23,0.05
Corr to Benchmark,1.0,0.01
Prob. Sharpe Ratio,29.75%,49.05%
Smart Sharpe,0.39,0.75
Sortino,0.85,2.08
Smart Sortino,0.77,1.9
Sortino/√2,0.6,1.47
Smart Sortino/√2,0.55,1.34
Omega,1.36,1.36
,,
Max Drawdown,-48.9%,-643.91%
Longest DD Days,472,597
Volatility (ann.),82.3%,1327.73%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,0.23,0.05
Skew,7.86,10.52
Kurtosis,128.93,162.93
,,
Expected Daily%,0.03%,-
Expected Monthly%,0.82%,-
Expected Yearly%,9.87%,-
Daily Value-at-Risk,-6.98%,-111.31%
Expected Shortfall (cVaR),-6.98%,-111.31%
,,
MTD,0.0%,5.31%
3M,-13.93%,-58.1%
6M,-0.77%,19.74%
YTD,-18.57%,-56.21%
1Y,-15.76%,-52.26%
3Y (ann.),11.18%,31.71%
5Y (ann.),11.18%,31.71%
10Y (ann.),11.18%,31.71%
All-time (ann.),11.18%,31.71%
,,
Best Day,73.04%,1149.0%
Worst Day,-13.78%,-275.98%
Best Month,49.47%,572.46%
Worst Month,-29.56%,-280.76%
Best Year,48.24%,-56.21%
Worst Year,-18.57%,-472.35%
,,
Avg. Drawdown,-21.43%,-64.08%
Avg. Drawdown Days,128,57
Recovery Factor,1.43,3.03
Ulcer Index,0.28,2.68
Serenity Index,0.22,1.17
,,
Avg. Up Month,12.56%,125.39%
Avg. Down Month,-12.58%,-50.35%
Win Days,327.13,323.98
Loss Days,321.87,325.02
Win Days%,50.41%,49.92%
Win Month%,54.55%,56.52%
Win Quarter%,50.0%,50.0%
Win Year%,50.0%,0.0%
,,
Beta,-,0.22
Alpha,-,10.89
Correlation,-,1.34%
Treynor Ratio,-,-1236.32%
