datetime,portfolio_value,cash,positions,return
2023-01-01 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2023-01-02 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-03 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-04 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-05 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-06 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-07 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-08 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-09 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-10 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-11 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-12 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-13 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-14 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-15 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-16 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-17 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-18 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-19 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-20 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-21 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-22 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-23 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-24 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-01-25 00:00:00-05:00,100367.64705882352,125919.11764705883,"[{'asset': USD, 'quantity': 125919.11764705883}, {'asset': BTC, 'quantity': -61274.50980392157}]",0.003676470588235281
2023-01-26 00:00:00-05:00,100857.84313725491,125919.11764705883,"[{'asset': USD, 'quantity': 125919.11764705883}, {'asset': BTC, 'quantity': -61274.50980392157}]",0.004884004884005089
2023-01-27 00:00:00-05:00,100612.74509803922,125919.11764705883,"[{'asset': USD, 'quantity': 125919.11764705883}, {'asset': BTC, 'quantity': -61274.50980392157}]",-0.00243013365735123
2023-01-28 00:00:00-05:00,100980.02124578645,150828.68952665813,"[{'asset': USD, 'quantity': 150828.68952665813}, {'asset': BTC, 'quantity': -122178.10853154822}]",0.003650393867987267
2023-01-29 00:00:00-05:00,100369.13070312871,150828.68952665813,"[{'asset': USD, 'quantity': 150828.68952665813}, {'asset': BTC, 'quantity': -122178.10853154822}]",-0.006049617886005665
2023-01-30 00:00:00-05:00,103541.10061864446,175617.19154050588,"[{'asset': USD, 'quantity': 175617.19154050588}, {'asset': BTC, 'quantity': -182934.24091843}]",0.03160304262171776
2023-01-31 00:00:00-05:00,101805.7804029599,202750.7413853664,"[{'asset': USD, 'quantity': 202750.7413853664}, {'asset': BTC, 'quantity': -248632.90882366127}]",-0.016759723484840672
2023-02-01 00:00:00-05:00,100065.3500411943,202750.7413853664,"[{'asset': USD, 'quantity': 202750.7413853664}, {'asset': BTC, 'quantity': -248632.90882366127}]",-0.01709559471846067
2023-02-02 00:00:00-05:00,100568.9597845147,227343.07317515142,"[{'asset': USD, 'quantity': 227343.07317515142}, {'asset': BTC, 'quantity': -309205.1546113091}]",0.005032808490782026
2023-02-03 00:00:00-05:00,99950.54947529208,227343.07317515142,"[{'asset': USD, 'quantity': 227343.07317515142}, {'asset': BTC, 'quantity': -309205.1546113091}]",-0.006149117088887657
2023-02-04 00:00:00-05:00,100259.75462990339,227343.07317515142,"[{'asset': USD, 'quantity': 227343.07317515142}, {'asset': BTC, 'quantity': -309205.1546113091}]",0.003093581338317053
2023-02-05 00:00:00-05:00,104763.0247639427,252468.99708483525,"[{'asset': USD, 'quantity': 252468.99708483525}, {'asset': BTC, 'quantity': -370190.4068192796}]",0.044916029873228513
2023-02-06 00:00:00-05:00,107354.35761167764,252468.99708483525,"[{'asset': USD, 'quantity': 252468.99708483525}, {'asset': BTC, 'quantity': -370190.4068192796}]",0.024735185468096832
2023-02-07 00:00:00-05:00,102912.07272984629,252468.99708483525,"[{'asset': USD, 'quantity': 252468.99708483525}, {'asset': BTC, 'quantity': -370190.4068192796}]",-0.04137964196944843
2023-02-08 00:00:00-05:00,105133.21517076198,252468.99708483525,"[{'asset': USD, 'quantity': 252468.99708483525}, {'asset': BTC, 'quantity': -370190.4068192796}]",0.021582914249005603
2023-02-09 00:00:00-05:00,111056.26167987045,252468.99708483525,"[{'asset': USD, 'quantity': 252468.99708483525}, {'asset': BTC, 'quantity': -370190.4068192796}]",0.05633848921568707
2023-02-10 00:00:00-05:00,112219.15447232983,281395.95529726223,"[{'asset': USD, 'quantity': 281395.95529726223}, {'asset': BTC, 'quantity': -442871.2063479906}]",0.010471204188481575
2023-02-11 00:00:00-05:00,111333.41205963385,281395.95529726223,"[{'asset': USD, 'quantity': 281395.95529726223}, {'asset': BTC, 'quantity': -442871.2063479906}]",-0.007892969937804861
2023-02-12 00:00:00-05:00,115319.25291676575,281395.95529726223,"[{'asset': USD, 'quantity': 281395.95529726223}, {'asset': BTC, 'quantity': -442871.2063479906}]",0.0358009404669728
2023-02-13 00:00:00-05:00,117090.73774215771,281395.95529726223,"[{'asset': USD, 'quantity': 281395.95529726223}, {'asset': BTC, 'quantity': -442871.2063479906}]",0.015361570428058302
2023-02-14 00:00:00-05:00,111666.83967165928,310984.2481903277,"[{'asset': USD, 'quantity': 310984.2481903277}, {'asset': BTC, 'quantity': -521773.3207294985}]",-0.04632217863758148
2023-02-15 00:00:00-05:00,101753.14657779879,310984.2481903277,"[{'asset': USD, 'quantity': 310984.2481903277}, {'asset': BTC, 'quantity': -521773.3207294985}]",-0.08877920359356739
2023-02-16 00:00:00-05:00,110496.41878259703,335217.2294825466,"[{'asset': USD, 'quantity': 335217.2294825466}, {'asset': BTC, 'quantity': -585210.4445311187}]",0.08592630792123246
2023-02-17 00:00:00-05:00,104059.1038927547,335217.2294825466,"[{'asset': USD, 'quantity': 335217.2294825466}, {'asset': BTC, 'quantity': -585210.4445311187}]",-0.05825813144684644
2023-02-18 00:00:00-05:00,104644.31433728585,335217.2294825466,"[{'asset': USD, 'quantity': 335217.2294825466}, {'asset': BTC, 'quantity': -585210.4445311187}]",0.005623827446508356
