Metric,BTC/USD,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,96.0%,96.0%
,,
Total Return,23%,-215%
CAGR% (Annual Return),12.42%,8.3%
,,
Sharpe,0.44,-0.69
RoMaD,0.25,0.01
Corr to Benchmark,1.0,-0.02
Prob. Sharpe Ratio,30.41%,0.01%
Smart Sharpe,0.44,-0.69
Sortino,0.87,-0.7
Smart Sortino,0.87,-0.7
Sortino/√2,0.62,-0.49
Smart Sortino/√2,0.62,-0.49
Omega,0.12,0.12
,,
Max Drawdown,-48.9%,-557.56%
Longest DD Days,472,597
Volatility (ann.),82.35%,170187.86%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.25,0.01
Skew,7.87,-25.13
Kurtosis,128.97,637.07
,,
Expected Daily%,0.03%,-
Expected Monthly%,0.9%,-
Expected Yearly%,10.92%,-
Daily Value-at-Risk,-6.98%,-14975.79%
Expected Shortfall (cVaR),-6.98%,-14975.79%
,,
MTD,0.0%,6.65%
3M,-13.93%,-63.17%
6M,-0.77%,29.69%
YTD,-18.57%,-60.06%
1Y,-15.76%,-56.1%
3Y (ann.),12.42%,8.3%
5Y (ann.),12.42%,8.3%
10Y (ann.),12.42%,8.3%
All-time (ann.),12.42%,8.3%
,,
Best Day,73.04%,18756.36%
Worst Day,-13.78%,-225687.99%
Best Month,49.47%,930.6%
Worst Month,-29.56%,-224.05%
Best Year,51.08%,-60.06%
Worst Year,-18.57%,-388.31%
,,
Avg. Drawdown,-21.26%,-55.33%
Avg. Drawdown Days,128,57
Recovery Factor,1.47,375.24
Ulcer Index,0.28,2.3
Serenity Index,0.23,-21706.97
,,
Avg. Up Month,12.56%,194.31%
Avg. Down Month,-13.8%,-63.8%
Win Days,326.13,319.85
Loss Days,320.87,327.15
Win Days%,50.41%,49.44%
Win Month%,54.55%,60.87%
Win Quarter%,50.0%,50.0%
Win Year%,50.0%,0.0%
,,
Beta,-,-42.02
Alpha,-,-1163.26
Correlation,-,-2.03%
Treynor Ratio,-,5.23%
