time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-04-22 01:00:00-04:00,MLTrader,34c869c995fe4cef9305abeb265eb275,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-22 01:00:00-04:00,MLTrader,34c869c995fe4cef9305abeb265eb275,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.449,105932.20338983051,0.0
2023-06-17 01:00:00-04:00,MLTrader,e524dffa72a3469fbfa68591e8300db6,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-17 01:00:00-04:00,MLTrader,e524dffa72a3469fbfa68591e8300db6,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.476,54621.292372881355,0.0
2023-07-13 01:00:00-04:00,MLTrader,86e8754e5d3d441ca5bd92626f26d982,XRP,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-13 01:00:00-04:00,MLTrader,76113dd3c53346148890fb10503059b6,XRP,sell,limit,fill,1,day,0.0,1,stock,0.708,105932.20338983051,0.0
2023-07-13 01:00:00-04:00,MLTrader,72ebb33d3f7343559cf338bab0e5d3c1,XRP,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-13 01:00:00-04:00,MLTrader,91a70b7116714db98e3eb810f907cf6e,XRP,sell,limit,fill,1,day,0.0,1,stock,0.72,54621.292372881355,0.0
2023-08-17 01:00:00-04:00,MLTrader,597150c2ea484eec907e01b645271a9e,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-17 01:00:00-04:00,MLTrader,597150c2ea484eec907e01b645271a9e,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.588,138820.54834018653,0.0
2023-08-18 01:00:00-04:00,MLTrader,f2340f8367dc43e08d6cb8acc6a655f7,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-18 01:00:00-04:00,MLTrader,f2340f8367dc43e08d6cb8acc6a655f7,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.506,58436.31777956471,0.0
2023-09-14 01:00:00-04:00,MLTrader,c615ea7253444c0ba5c8974889a48f64,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2023-09-14 01:00:00-04:00,MLTrader,c615ea7253444c0ba5c8974889a48f64,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.483,30172.22122087729,0.0
2023-11-13 00:00:00-05:00,MLTrader,92bd58ad42c345a4b4f5d7a6c2cae359,XRP,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-11-13 00:00:00-05:00,MLTrader,de190324ad874677af0c129b6ad9ed58,XRP,sell,limit,fill,1,day,0.0,1,stock,0.735,30172.22122087729,0.0
2024-01-19 00:00:00-05:00,MLTrader,9d046e847249427daadbbee4f8d7c71a,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-19 00:00:00-05:00,MLTrader,9d046e847249427daadbbee4f8d7c71a,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.552,34165.603441287516,0.0
2024-03-25 01:00:00-04:00,MLTrader,f0d010367a6f44479e963dda06fdd78e,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-25 01:00:00-04:00,MLTrader,f0d010367a6f44479e963dda06fdd78e,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.632,14284.526867808196,0.0
2024-03-28 01:00:00-04:00,MLTrader,b80305c11f3d43c9a11709a91b80f839,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-28 01:00:00-04:00,MLTrader,b80305c11f3d43c9a11709a91b80f839,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.611,7427.953971260262,0.0
2024-04-03 01:00:00-04:00,MLTrader,c68c5f0e54a345879c4a2cc5ad2e452b,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-03 01:00:00-04:00,MLTrader,c68c5f0e54a345879c4a2cc5ad2e452b,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.585,4134.549292365251,0.0
2024-04-13 01:00:00-04:00,MLTrader,4082ca32c23049b6b74bc4b1da2fab7a,XRP,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-13 01:00:00-04:00,MLTrader,b5c56bd5eb654739b9509a6674b6dee2,XRP,sell,stop,fill,1,day,0.0,1,stock,0.4487,14284.526867808196,0.0
2024-04-13 01:00:00-04:00,MLTrader,d0baa27928a74c5db059110859b7ee7c,XRP,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-13 01:00:00-04:00,MLTrader,4cd2aebdcb3d453281133dd73c156a88,XRP,sell,stop,fill,1,day,0.0,1,stock,0.4375,7427.953971260262,0.0
2024-04-13 01:00:00-04:00,MLTrader,df5a9dd942ff4724b3384851dbe14fd0,XRP,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-13 01:00:00-04:00,MLTrader,921f137cf7a54ea7a394ebfa500bff12,XRP,sell,stop,fill,1,day,0.0,1,stock,0.40179999999999993,4134.549292365251,0.0
2024-04-26 01:00:00-04:00,MLTrader,a9f27e60e134418bbacf53daaef8bb1e,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-26 01:00:00-04:00,MLTrader,a9f27e60e134418bbacf53daaef8bb1e,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.525,12973.583864340204,0.0
2024-06-07 01:00:00-04:00,MLTrader,44ac7aae5ec6441484271064199a201b,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-07 01:00:00-04:00,MLTrader,44ac7aae5ec6441484271064199a201b,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.521,6850.78025702133,0.0
2024-06-08 01:00:00-04:00,MLTrader,6d9e95873ece45f49785b8fc97570dd4,XRP,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-08 01:00:00-04:00,MLTrader,6d9e95873ece45f49785b8fc97570dd4,XRP,buy,market,fill,1,gtc,0.0,1,stock,0.499,3314.2212805265463,0.0
