Metric,BTC/USD,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,100.0%,100.0%
,,
Total Return,230%,79%
CAGR% (Annual Return),94.97%,38.61%
,,
Sharpe,1.53,0.75
RoMaD,3.63,0.77
Corr to Benchmark,1.0,-0.05
Prob. Sharpe Ratio,85.59%,48.46%
Smart Sharpe,1.52,0.75
Sortino,2.47,1.14
Smart Sortino,2.45,1.13
Sortino/√2,1.75,0.81
Smart Sortino/√2,1.74,0.8
Omega,1.15,1.15
,,
Max Drawdown,-26.18%,-50.08%
Longest DD Days,234,233
Volatility (ann.),48.46%,71.97%
R^2,0.0,0.0
Information Ratio,-0.01,-0.01
Calmar,3.63,0.77
Skew,0.59,0.37
Kurtosis,2.66,10.88
,,
Expected Daily%,0.18%,0.09%
Expected Monthly%,5.32%,2.57%
Expected Yearly%,81.54%,33.85%
Daily Value-at-Risk,-3.96%,-6.04%
Expected Shortfall (cVaR),-3.96%,-6.04%
,,
MTD,0.0%,-1.78%
3M,6.42%,13.09%
6M,19.25%,26.87%
YTD,57.29%,27.22%
1Y,96.07%,37.92%
3Y (ann.),94.97%,38.61%
5Y (ann.),94.97%,38.61%
10Y (ann.),94.97%,38.61%
All-time (ann.),94.97%,38.61%
,,
Best Day,12.01%,24.03%
Worst Day,-8.42%,-27.41%
Best Month,44.94%,30.12%
Worst Month,-16.37%,-24.45%
Best Year,109.54%,40.84%
Worst Year,57.29%,27.22%
,,
Avg. Drawdown,-4.91%,-6.3%
Avg. Drawdown Days,16,22
Recovery Factor,5.35,2.09
Ulcer Index,0.11,0.15
Serenity Index,1.69,0.93
,,
Avg. Up Month,13.13%,9.4%
Avg. Down Month,-9.38%,-10.11%
Win Days,327.5,336.0
Loss Days,325.5,317.0
Win Days%,50.15%,51.45%
Win Month%,59.09%,65.22%
Win Quarter%,62.5%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.07
Alpha,-,0.64
Correlation,-,-4.89%
Treynor Ratio,-,-1028.63%
