time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-11-02 00:00:00-04:00,MLTrader,b02d09cdd5e44e00a6577793b5fe740b,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-02 00:00:00-04:00,MLTrader,b02d09cdd5e44e00a6577793b5fe740b,BTC,buy,market,fill,1,gtc,0.0,1,stock,31.149999618530273,1605.1364562539636,50.0
2024-11-03 00:00:00-04:00,MLTrader,73eb4ea7d7fa4fdfb725cc85cbfe2867,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-03 00:00:00-04:00,MLTrader,73eb4ea7d7fa4fdfb725cc85cbfe2867,BTC,buy,market,fill,1,gtc,0.0,1,stock,31.149999618530273,1604.3338880258366,49.975
2024-11-03 23:00:00-05:00,MLTrader,2121ab053aba4aae85ddc5343b465a76,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-03 23:00:00-05:00,MLTrader,2121ab053aba4aae85ddc5343b465a76,BTC,buy,market,fill,1,gtc,0.0,1,stock,31.149999618530273,1603.5317210818237,49.9500125
2024-12-16 23:00:00-05:00,MLTrader,a79fcb02c24a444c961ec3095c93cfda,BTC,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-12-16 23:00:00-05:00,MLTrader,444c2e5f00a24d4abd63389193437fe2,BTC,sell_to_close,limit,fill,1,day,0.0,1,stock,46.72499942779541,1605.1364562539636,0.0
2024-12-16 23:00:00-05:00,MLTrader,a75468647b02464898e241a610424c64,BTC,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-12-16 23:00:00-05:00,MLTrader,7f095bb8ea994b32a348bef312dc1503,BTC,sell_to_close,limit,fill,1,day,0.0,1,stock,46.72499942779541,1604.3338880258366,0.0
2024-12-16 23:00:00-05:00,MLTrader,789791e0841c4d71a302f9e9044c80d5,BTC,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-12-16 23:00:00-05:00,MLTrader,5556fe784dcd43d59cc98b0ff05a7df1,BTC,sell_to_close,limit,fill,1,day,0.0,1,stock,46.72499942779541,1603.5317210818237,0.0
2024-12-28 23:00:00-05:00,MLTrader,77ae57b6739b46958bbd357b3f287e51,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-28 23:00:00-05:00,MLTrader,77ae57b6739b46958bbd357b3f287e51,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.68000030517578,1169.7525102335956,49.92503749375
2024-12-29 23:00:00-05:00,MLTrader,d733ff077bd94bfa8f2d58e751ef06fe,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-29 23:00:00-05:00,MLTrader,d733ff077bd94bfa8f2d58e751ef06fe,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.68000030517578,1169.1676339784788,49.90007497500312
2025-01-08 23:00:00-05:00,MLTrader,acd1fc34a9c741f39e9f6819a82ac82f,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-08 23:00:00-05:00,MLTrader,acd1fc34a9c741f39e9f6819a82ac82f,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.279998779296875,1179.638750650528,49.875124937515615
2025-01-09 23:00:00-05:00,MLTrader,c9be9bd374ce42dfa4543fc30f07f46b,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-09 23:00:00-05:00,MLTrader,c9be9bd374ce42dfa4543fc30f07f46b,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.279998779296875,1179.0489312752027,49.85018737504686
2025-01-28 23:00:00-05:00,MLTrader,14941e7049e045248411d1b4198ac10a,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-28 23:00:00-05:00,MLTrader,14941e7049e045248411d1b4198ac10a,BTC,buy,market,fill,1,gtc,0.0,1,stock,45.470001220703125,1095.7831744828104,49.825262281359336
2025-02-13 23:00:00-05:00,MLTrader,24609ef9a58e41cd8de3bb8d4fb8b809,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-13 23:00:00-05:00,MLTrader,24609ef9a58e41cd8de3bb8d4fb8b809,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.529998779296875,1170.9464161673313,49.80034965021866
2025-02-21 23:00:00-05:00,MLTrader,46c58915785a483dabffd57b0ce2b267,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-21 23:00:00-05:00,MLTrader,46c58915785a483dabffd57b0ce2b267,BTC,buy,market,fill,1,gtc,0.0,1,stock,43.939998626708984,1132.8049847761595,49.77544947539354
2025-03-19 00:00:00-04:00,MLTrader,77a527bcbc3e4a8380d140ed1ba5922b,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-19 00:00:00-04:00,MLTrader,77a527bcbc3e4a8380d140ed1ba5922b,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.20000076293945,1337.380664793424,49.75056175065585
2025-03-27 00:00:00-04:00,MLTrader,3e71054074cc4d89a5d52a31d7069cac,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-27 00:00:00-04:00,MLTrader,3e71054074cc4d89a5d52a31d7069cac,BTC,buy,market,fill,1,gtc,0.0,1,stock,38.2599983215332,1299.6782187989352,49.72568646978053
2025-03-28 00:00:00-04:00,MLTrader,830254ed2e1d40efb516a085db33d791,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-28 00:00:00-04:00,MLTrader,830254ed2e1d40efb516a085db33d791,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.810001373291016,1314.4888077590574,49.700823626545635
2025-03-29 00:00:00-04:00,MLTrader,fa4e312a28d34e2995712e994f0362c3,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-29 00:00:00-04:00,MLTrader,fa4e312a28d34e2995712e994f0362c3,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.810001373291016,1313.8315633551779,49.67597321473236
