time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-11-02 00:00:00-04:00,MLTrader,8941cf361d0e48cebe4c23846d35596f,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-02 00:00:00-04:00,MLTrader,8941cf361d0e48cebe4c23846d35596f,BTC,buy,market,fill,1,gtc,0.0,1,stock,31.149999618530273,1284.1091650031708,140.0
2024-11-03 00:00:00-04:00,MLTrader,9ac1262b4f1b4de6b27ab72249abae29,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-03 00:00:00-04:00,MLTrader,9ac1262b4f1b4de6b27ab72249abae29,BTC,buy,market,fill,1,gtc,0.0,1,stock,31.149999618530273,1282.3114121721665,139.804
2024-11-03 23:00:00-05:00,MLTrader,ee16434f42b848a3b1b60860163f0401,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-03 23:00:00-05:00,MLTrader,ee16434f42b848a3b1b60860163f0401,BTC,buy,market,fill,1,gtc,0.0,1,stock,31.149999618530273,1280.5161761951254,139.6082744
2024-12-16 23:00:00-05:00,MLTrader,c11c689a2e1041f395818e36f6146711,BTC,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-12-16 23:00:00-05:00,MLTrader,766e246e88694a58b902f1fefaebb59a,BTC,sell_to_close,limit,fill,1,day,0.0,1,stock,46.72499942779541,1284.1091650031708,0.0
2024-12-16 23:00:00-05:00,MLTrader,489e5c935f174d73ba4170019d37e98a,BTC,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-12-16 23:00:00-05:00,MLTrader,90770d0ee4c94d20ba5cbc1df62e709f,BTC,sell_to_close,limit,fill,1,day,0.0,1,stock,46.72499942779541,1282.3114121721665,0.0
2024-12-16 23:00:00-05:00,MLTrader,21032292ca4942d190e55713cba4ee03,BTC,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-12-16 23:00:00-05:00,MLTrader,d4243799fb0c44539345970d79a55f69,BTC,sell_to_close,limit,fill,1,day,0.0,1,stock,46.72499942779541,1280.5161761951254,0.0
2024-12-28 23:00:00-05:00,MLTrader,2683158003bc425681e630dee241fde2,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-28 23:00:00-05:00,MLTrader,2683158003bc425681e630dee241fde2,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.68000030517578,933.27635439144,139.41282281584
2024-12-29 23:00:00-05:00,MLTrader,f54323bb240e407fa9d24428b5578639,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-29 23:00:00-05:00,MLTrader,f54323bb240e407fa9d24428b5578639,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.68000030517578,931.9697674952921,139.21764486389785
2025-01-08 23:00:00-05:00,MLTrader,581063e1d76d468b92c0ed65edd16873,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-08 23:00:00-05:00,MLTrader,581063e1d76d468b92c0ed65edd16873,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.279998779296875,939.4698214281423,139.0227401610884
2025-01-09 23:00:00-05:00,MLTrader,d323464eae114c12bbd4502753838685,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-09 23:00:00-05:00,MLTrader,d323464eae114c12bbd4502753838685,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.279998779296875,938.154563678143,138.82810832486288
2025-01-28 23:00:00-05:00,MLTrader,bced9312a95c43088ce08b09d0ddba0a,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-28 23:00:00-05:00,MLTrader,bced9312a95c43088ce08b09d0ddba0a,BTC,buy,market,fill,1,gtc,0.0,1,stock,45.470001220703125,871.1159335913742,138.63374897320804
2025-02-13 23:00:00-05:00,MLTrader,df9b90a484d243d2b587f2bc9393618d,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-13 23:00:00-05:00,MLTrader,df9b90a484d243d2b587f2bc9393618d,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.529998779296875,930.0303362209119,138.43966172464556
2025-02-21 23:00:00-05:00,MLTrader,916a5b17a6984715b6e44205ab631f68,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-21 23:00:00-05:00,MLTrader,916a5b17a6984715b6e44205ab631f68,BTC,buy,market,fill,1,gtc,0.0,1,stock,43.939998626708984,898.9261364128761,138.24584619823105
2025-03-19 00:00:00-04:00,MLTrader,12665afe997e44dea998200b2d1eddb5,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-19 00:00:00-04:00,MLTrader,12665afe997e44dea998200b2d1eddb5,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.20000076293945,1060.3095175285841,138.05230201355354
2025-03-27 00:00:00-04:00,MLTrader,5b0dad3b2e454f8bb2387a5fa85f6520,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-27 00:00:00-04:00,MLTrader,5b0dad3b2e454f8bb2387a5fa85f6520,BTC,buy,market,fill,1,gtc,0.0,1,stock,38.2599983215332,1029.4902161049404,137.85902879073456
2025-03-28 00:00:00-04:00,MLTrader,58356b881ee74eb998c407da1501fe71,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-28 00:00:00-04:00,MLTrader,58356b881ee74eb998c407da1501fe71,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.810001373291016,1040.2842872277313,137.66602615042754
2025-03-29 00:00:00-04:00,MLTrader,9e26a9dc6d6d41b281f3c0f073b22892,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-29 00:00:00-04:00,MLTrader,9e26a9dc6d6d41b281f3c0f073b22892,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.810001373291016,1038.8278892256124,137.47329371381693
