datetime,portfolio_value,cash,positions,return
2024-10-15 00:00:00-04:00,100000.0,100000.0,[],
2024-10-16 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-17 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-18 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-19 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-20 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-21 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-22 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-23 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-24 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-25 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-26 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-27 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-28 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-29 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-30 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-10-31 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-11-01 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-11-02 00:00:00-04:00,100000.0,100000.0,[],0.0
2024-11-03 00:00:00-04:00,139860.0,99860.0,"[{'asset': BTC, 'quantity': 1284.1091650031708}]",0.39860000000000007
2024-11-03 23:00:00-05:00,179664.196,99720.196,"[{'asset': BTC, 'quantity': 2566.4205771753373}]",0.2846002860002861
2024-11-04 23:00:00-05:00,216527.46356057213,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.20517870772968094
2024-11-05 23:00:00-05:00,217873.8928917417,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.006218284318436629
2024-11-06 23:00:00-05:00,226337.15668413654,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.03884478163062943
2024-11-07 23:00:00-05:00,227491.2347751679,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.005098933413933082
2024-11-08 23:00:00-05:00,229799.39095723053,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.010146132374479366
2024-11-09 23:00:00-05:00,229799.39095723053,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.0
2024-11-10 23:00:00-05:00,229799.39095723053,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.0
2024-11-11 23:00:00-05:00,239416.73284065665,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.04185103295254633
2024-11-12 23:00:00-05:00,246533.5746393315,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.02972574938365491
2024-11-13 23:00:00-05:00,253265.7139577298,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.027307190626052247
2024-11-14 23:00:00-05:00,255573.87013979245,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.009113575406609842
2024-11-15 23:00:00-05:00,252111.6358666985,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",-0.013546902393426263
2024-11-16 23:00:00-05:00,252111.6358666985,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.0
2024-11-17 23:00:00-05:00,252111.6358666985,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.0
2024-11-18 23:00:00-05:00,254035.1042433837,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.0076294311846132334
2024-11-19 23:00:00-05:00,255958.57262006894,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.007571663697480302
2024-11-20 23:00:00-05:00,261036.52796052603,99580.5877256,"[{'asset': BTC, 'quantity': 3846.9367533704626}]",0.019838973504491708
