Metric,BTC-USD,Strategy
Risk-Free Rate,4.19%,4.19%
Time in Market,100.0%,72.0%
,,
Total Return,0%,463%
CAGR% (Annual Return),0.35%,30755.22%
,,
Sharpe,0.19,5.32
RoMaD,0.01,2565.46
Corr to Benchmark,1.0,-0.02
Prob. Sharpe Ratio,38.5%,100.0%
Smart Sharpe,0.14,3.86
Sortino,0.28,23.84
Smart Sortino,0.21,17.31
Sortino/√2,0.2,16.86
Smart Sortino/√2,0.15,12.24
Omega,4.31,4.31
,,
Max Drawdown,-28.14%,-11.99%
Longest DD Days,98,24
Volatility (ann.),53.24%,118.17%
R^2,0.0,0.0
Information Ratio,0.25,0.25
Calmar,0.01,2565.46
Skew,0.29,3.56
Kurtosis,1.84,16.09
,,
Expected Daily%,0.0%,1.57%
Expected Monthly%,0.03%,54.01%
Expected Yearly%,0.11%,462.61%
Daily Value-at-Risk,-4.54%,-8.44%
Expected Shortfall (cVaR),-4.54%,-8.44%
,,
MTD,15.26%,33.74%
3M,-6.11%,202.97%
6M,0.11%,462.61%
YTD,0.11%,462.61%
1Y,0.11%,462.61%
3Y (ann.),0.35%,30755.22%
5Y (ann.),0.35%,30755.22%
10Y (ann.),0.35%,30755.22%
All-time (ann.),0.35%,30755.22%
,,
Best Day,9.55%,39.86%
Worst Day,-8.68%,-7.41%
Best Month,15.26%,128.13%
Worst Month,-17.61%,16.78%
Best Year,0.11%,462.61%
Worst Year,0.11%,462.61%
,,
Avg. Drawdown,-8.09%,-3.25%
Avg. Drawdown Days,26,6
Recovery Factor,0.15,16.05
Ulcer Index,0.16,0.05
Serenity Index,0.0,26.69
,,
Avg. Up Month,11.5%,80.93%
Avg. Down Month,-,-
Win Days,53.48,66.04
Loss Days,57.52,44.96
Win Days%,48.18%,59.49%
Win Month%,50.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.05
Alpha,-,6.33
Correlation,-,-2.13%
Treynor Ratio,-,-9695.96%
