time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2025-01-08 00:00:00-05:00,MLTrader,185da16d486a45e39d8c98990ceca671,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-08 00:00:00-05:00,MLTrader,185da16d486a45e39d8c98990ceca671,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.279998779296875,946.0738210708437,140.0
2025-01-09 00:00:00-05:00,MLTrader,c4b98a8df1ae4114877ecef89cd63123,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-09 00:00:00-05:00,MLTrader,c4b98a8df1ae4114877ecef89cd63123,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.279998779296875,944.7493177213445,139.804
2025-01-28 00:00:00-05:00,MLTrader,087966568f4c41e7a809dea43ac95fb7,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-28 00:00:00-05:00,MLTrader,087966568f4c41e7a809dea43ac95fb7,BTC,buy,market,fill,1,gtc,0.0,1,stock,45.470001220703125,877.2394398317808,139.6082744
2025-02-13 00:00:00-05:00,MLTrader,1bc1fd0bd0c145688e597d0299e24d73,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-13 00:00:00-05:00,MLTrader,1bc1fd0bd0c145688e597d0299e24d73,BTC,buy,market,fill,1,gtc,0.0,1,stock,42.529998779296875,936.5679810371846,139.41282281584
2025-02-21 00:00:00-05:00,MLTrader,e97761846a0f4f87bdc9568771ae289f,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-21 00:00:00-05:00,MLTrader,e97761846a0f4f87bdc9568771ae289f,BTC,buy,market,fill,1,gtc,0.0,1,stock,43.939998626708984,905.2451343713855,139.21764486389785
2025-03-19 01:00:00-04:00,MLTrader,b020d9ea3c89421d88cb06993b3baeab,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-19 01:00:00-04:00,MLTrader,b020d9ea3c89421d88cb06993b3baeab,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.20000076293945,1067.7629593690758,139.0227401610884
2025-03-27 01:00:00-04:00,MLTrader,6c562d7580dc42ae8cf2119210ce9852,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-27 01:00:00-04:00,MLTrader,6c562d7580dc42ae8cf2119210ce9852,BTC,buy,market,fill,1,gtc,0.0,1,stock,38.2599983215332,1036.7270137798102,138.82810832486285
2025-03-28 01:00:00-04:00,MLTrader,cea5e81e3a0d4703bbb50f73359c8716,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-28 01:00:00-04:00,MLTrader,cea5e81e3a0d4703bbb50f73359c8716,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.810001373291016,1047.5969617857243,138.63374897320807
2025-03-29 01:00:00-04:00,MLTrader,2f03f4312cbd427786b9f652d61156c9,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-03-29 01:00:00-04:00,MLTrader,2f03f4312cbd427786b9f652d61156c9,BTC,buy,market,fill,1,gtc,0.0,1,stock,37.810001373291016,1046.1303260392242,138.43966172464556
2025-04-08 01:00:00-04:00,MLTrader,6ee80191743e42ee8085a1b217565994,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-04-08 01:00:00-04:00,MLTrader,6ee80191743e42ee8085a1b217565994,BTC,buy,market,fill,1,gtc,0.0,1,stock,35.5099983215332,1112.329345719585,138.24584619823108
2025-04-11 01:00:00-04:00,MLTrader,eb12569eb5114a41a2ce41245ce5fee6,BTC,buy,market,new,1,gtc,0.0,1,stock,,,
2025-04-11 01:00:00-04:00,MLTrader,eb12569eb5114a41a2ce41245ce5fee6,BTC,buy,market,fill,1,gtc,0.0,1,stock,36.31999969482422,1085.999867633154,138.05230201355354
