Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,66.0%
,,
Total Return,27%,9%
CAGR% (Annual Return),27.16%,8.72%
,,
Sharpe,1.51,0.89
RoMaD,2.73,2.83
Corr to Benchmark,1.0,0.17
Prob. Sharpe Ratio,81.51%,91.55%
Smart Sharpe,1.43,0.85
Sortino,2.31,1.59
Smart Sortino,2.2,1.51
Sortino/√2,1.63,1.12
Smart Sortino/√2,1.56,1.07
Omega,1.17,1.17
,,
Max Drawdown,-9.97%,-3.08%
Longest DD Days,121,164
Volatility (ann.),13.1%,3.74%
R^2,0.03,0.03
Information Ratio,-0.07,-0.07
Calmar,2.73,2.83
Skew,0.1,1.8
Kurtosis,1.09,10.58
,,
Expected Daily%,0.07%,0.02%
Expected Monthly%,1.99%,0.69%
Expected Yearly%,26.74%,8.6%
Daily Value-at-Risk,-1.06%,-0.3%
Expected Shortfall (cVaR),-1.06%,-0.3%
,,
MTD,4.57%,-0.23%
3M,11.64%,2.28%
6M,9.33%,0.39%
YTD,26.74%,8.6%
1Y,26.74%,8.6%
3Y (ann.),27.16%,8.72%
5Y (ann.),27.16%,8.72%
10Y (ann.),27.16%,8.72%
All-time (ann.),27.16%,8.72%
,,
Best Day,2.29%,1.42%
Worst Day,-2.01%,-0.63%
Best Month,9.13%,2.79%
Worst Month,-4.73%,-1.12%
Best Year,26.74%,8.6%
Worst Year,26.74%,8.6%
,,
Avg. Drawdown,-1.7%,-0.47%
Avg. Drawdown Days,14,15
Recovery Factor,2.46,2.7
Ulcer Index,0.03,0.01
Serenity Index,0.68,0.21
,,
Avg. Up Month,4.69%,1.91%
Avg. Down Month,-2.96%,-0.92%
Win Days,203.79,185.05
Loss Days,157.21,175.95
Win Days%,56.45%,51.26%
Win Month%,66.67%,58.33%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.05
Alpha,-,0.07
Correlation,-,17.01%
Treynor Ratio,-,69.81%
