Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,66.0%
,,
Total Return,27%,12%
CAGR% (Annual Return),27.16%,12.23%
,,
Sharpe,1.51,1.68
RoMaD,2.73,6.3
Corr to Benchmark,1.0,0.11
Prob. Sharpe Ratio,81.51%,98.32%
Smart Sharpe,1.32,1.46
Sortino,2.31,2.92
Smart Sortino,2.02,2.55
Sortino/√2,1.63,2.06
Smart Sortino/√2,1.43,1.8
Omega,1.34,1.34
,,
Max Drawdown,-9.97%,-1.94%
Longest DD Days,121,145
Volatility (ann.),13.1%,3.88%
R^2,0.01,0.01
Information Ratio,-0.05,-0.05
Calmar,2.73,6.3
Skew,0.1,1.0
Kurtosis,1.09,4.65
,,
Expected Daily%,0.07%,0.03%
Expected Monthly%,1.99%,0.95%
Expected Yearly%,26.74%,12.05%
Daily Value-at-Risk,-1.06%,-0.3%
Expected Shortfall (cVaR),-1.06%,-0.3%
,,
MTD,4.57%,0.09%
3M,11.64%,2.18%
6M,9.33%,1.15%
YTD,26.74%,12.05%
1Y,26.74%,12.05%
3Y (ann.),27.16%,12.23%
5Y (ann.),27.16%,12.23%
10Y (ann.),27.16%,12.23%
All-time (ann.),27.16%,12.23%
,,
Best Day,2.29%,1.09%
Worst Day,-2.01%,-0.66%
Best Month,9.13%,3.59%
Worst Month,-4.73%,-0.99%
Best Year,26.74%,12.05%
Worst Year,26.74%,12.05%
,,
Avg. Drawdown,-1.7%,-0.29%
Avg. Drawdown Days,14,10
Recovery Factor,2.46,5.9
Ulcer Index,0.03,0.01
Serenity Index,0.68,1.4
,,
Avg. Up Month,4.67%,1.61%
Avg. Down Month,-4.73%,-0.99%
Win Days,203.79,209.56
Loss Days,157.21,151.44
Win Days%,56.45%,58.05%
Win Month%,66.67%,83.33%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.03
Alpha,-,0.11
Correlation,-,10.96%
Treynor Ratio,-,210.73%
