time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-23 09:30:00-05:00,StockTrader,c7ff7d9b0b4142f99f7238e5f6fa1ec4,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-23 09:30:00-05:00,StockTrader,c7ff7d9b0b4142f99f7238e5f6fa1ec4,AAPL,sell,market,fill,1,gtc,0.0,1,stock,138.1199951171875,181.0,0.0
2023-02-28 09:30:00-05:00,StockTrader,72ad63732bf048d1b98e761e0e4f9147,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2023-02-28 09:30:00-05:00,StockTrader,dce9d99e4ba842d8a57f5095dc7a72ba,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-28 09:30:00-05:00,StockTrader,72ad63732bf048d1b98e761e0e4f9147,AAPL,buy,market,fill,1,day,0.0,1,stock,147.0500030517578,181.0,0.0
2023-02-28 09:30:00-05:00,StockTrader,dce9d99e4ba842d8a57f5095dc7a72ba,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.0500030517578,212.0,0.0
2023-03-17 09:30:00-04:00,StockTrader,9c6361421d6744a2a04c81887d79339d,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-17 09:30:00-04:00,StockTrader,9c6361421d6744a2a04c81887d79339d,AAPL,buy,market,fill,1,gtc,0.0,1,stock,156.0800018310547,107.0,0.0
2023-05-31 09:30:00-04:00,StockTrader,deb05bbd12734acbbe5681a7130379e9,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-31 09:30:00-04:00,StockTrader,deb05bbd12734acbbe5681a7130379e9,AAPL,buy,market,fill,1,gtc,0.0,1,stock,177.3300018310547,71.0,0.0
2023-07-03 09:30:00-04:00,StockTrader,c4a1c6397b55404d896f2238e182c840,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-03 09:30:00-04:00,StockTrader,c4a1c6397b55404d896f2238e182c840,AAPL,buy,market,fill,1,gtc,0.0,1,stock,193.77999877929688,48.0,0.0
2023-07-17 09:30:00-04:00,StockTrader,37cc9000b255493cb74e07e0984299f1,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-17 09:30:00-04:00,StockTrader,37cc9000b255493cb74e07e0984299f1,AAPL,buy,market,fill,1,gtc,0.0,1,stock,191.89999389648438,37.0,0.0
2023-07-19 09:30:00-04:00,StockTrader,7bb06a47991c4556912ffa60994513a9,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-19 09:30:00-04:00,StockTrader,7bb06a47991c4556912ffa60994513a9,AAPL,buy,market,fill,1,gtc,0.0,1,stock,193.10000610351562,27.0,0.0
2023-08-25 09:30:00-04:00,StockTrader,26a12f1f88164ffe86459316fd2cb863,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-25 09:30:00-04:00,StockTrader,26a12f1f88164ffe86459316fd2cb863,AAPL,buy,market,fill,1,gtc,0.0,1,stock,177.3800048828125,23.0,0.0
2023-09-07 09:30:00-04:00,StockTrader,43b4c89fa81e42049bd924fbf1c02c50,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2023-09-07 09:30:00-04:00,StockTrader,ceb9ae76938643669e7318b6fa78314f,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-07 09:30:00-04:00,StockTrader,43b4c89fa81e42049bd924fbf1c02c50,AAPL,sell,market,fill,1,day,0.0,1,stock,175.17999267578125,525.0,0.0
2023-09-07 09:30:00-04:00,StockTrader,ceb9ae76938643669e7318b6fa78314f,AAPL,sell,market,fill,1,gtc,0.0,1,stock,175.17999267578125,17.0,0.0
2023-10-18 09:30:00-04:00,StockTrader,469c40a2c307467087da4e6fbc948185,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2023-10-18 09:30:00-04:00,StockTrader,2c2c0e30c9364fe19fde97e37526fb3a,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-10-18 09:30:00-04:00,StockTrader,469c40a2c307467087da4e6fbc948185,AAPL,buy,market,fill,1,day,0.0,1,stock,175.5800018310547,17.0,0.0
2023-10-18 09:30:00-04:00,StockTrader,2c2c0e30c9364fe19fde97e37526fb3a,AAPL,buy,market,fill,1,gtc,0.0,1,stock,175.5800018310547,152.0,0.0
2023-11-21 09:30:00-05:00,StockTrader,3dda534372e741b9a1d09f0c57516b9b,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2023-11-21 09:30:00-05:00,StockTrader,9c1f5d64daa84e05a5faa08f7e293f77,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-21 09:30:00-05:00,StockTrader,3dda534372e741b9a1d09f0c57516b9b,AAPL,sell,market,fill,1,day,0.0,1,stock,191.41000366210938,152.0,0.0
2023-11-21 09:30:00-05:00,StockTrader,9c1f5d64daa84e05a5faa08f7e293f77,AAPL,sell,market,fill,1,gtc,0.0,1,stock,191.41000366210938,101.0,0.0
2023-11-28 09:30:00-05:00,StockTrader,7564afa4c19649d58ad61699ef4ec88b,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2023-11-28 09:30:00-05:00,StockTrader,e408a5c4df6d40058a6c801db2e59905,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-28 09:30:00-05:00,StockTrader,7564afa4c19649d58ad61699ef4ec88b,AAPL,buy,market,fill,1,day,0.0,1,stock,189.77999877929688,101.0,0.0
2023-11-28 09:30:00-05:00,StockTrader,e408a5c4df6d40058a6c801db2e59905,AAPL,buy,market,fill,1,gtc,0.0,1,stock,189.77999877929688,166.0,0.0
2023-12-08 09:30:00-05:00,StockTrader,c3ee18cf03874ebcac4fd517311bf868,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-08 09:30:00-05:00,StockTrader,c3ee18cf03874ebcac4fd517311bf868,AAPL,buy,market,fill,1,gtc,0.0,1,stock,194.1999969482422,97.0,0.0
2023-12-11 09:30:00-05:00,StockTrader,f1623e03938741c39a767984689d3f7a,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-11 09:30:00-05:00,StockTrader,f1623e03938741c39a767984689d3f7a,AAPL,buy,market,fill,1,gtc,0.0,1,stock,193.11000061035156,73.0,0.0
2023-12-14 09:30:00-05:00,StockTrader,313407dddd76498d8a4a9d1ce7b299ee,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-14 09:30:00-05:00,StockTrader,313407dddd76498d8a4a9d1ce7b299ee,AAPL,buy,market,fill,1,gtc,0.0,1,stock,198.02000427246094,53.0,0.0
2023-12-18 09:30:00-05:00,StockTrader,e27011b1f84e400595a75cf95bcfb5bf,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-18 09:30:00-05:00,StockTrader,e27011b1f84e400595a75cf95bcfb5bf,AAPL,buy,market,fill,1,gtc,0.0,1,stock,196.08999633789062,40.0,0.0
2024-04-15 09:30:00-04:00,StockTrader,7e83e43ee6a747599004438c86cd4c01,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2024-04-15 09:30:00-04:00,StockTrader,175bc9c6307e478287b458ad07f65647,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-15 09:30:00-04:00,StockTrader,7e83e43ee6a747599004438c86cd4c01,AAPL,sell,market,fill,1,day,0.0,1,stock,175.36000061035156,429.0,0.0
2024-04-15 09:30:00-04:00,StockTrader,175bc9c6307e478287b458ad07f65647,AAPL,sell,market,fill,1,gtc,0.0,1,stock,175.36000061035156,34.0,0.0
